이름,성별,주소,나이,신장,체중,휴대폰번호,신용대출한도 ,신용잔액비율,신용등급,월소득,교육정도,직업종류
최만덕,F,경기 고양시 탄현동,68,178,65.545,1014919231,66400000,10.58429113,4,1045000,중졸,회사원
이필훈,M,경기 김포시 북변동,39,144,63.045833,1095563796,73800000,1018.057414,4,1045833,학사,회사원
유연택,M,경기 부천시 중2동,51,155,77.546667,1089310874,19300000,19.59852473,4,3046667,대퇴,주부
이종목,F,경기 고양시 주엽동,68,168,79.5475,1042260927,70600000,220.7036257,3,8047500,석사,무직
정금수,M,경기 김포시 양촌면,43,147,59.548333,1069214070,14500000,2.920165495,6,1048333,학사,회사원
김계출,F,서울 서초구 서초동,39,140,69.549167,1080545288,39300000,41.05664982,3,8049167,고졸,강사
한광희,M,경기 포천시 가산면,55,165,73.550833,1097667388,21500000,141.2735648,6,1050833,전문학사,무직
조용범,M,경남 마산시 월포동,61,170,81.051667,1068573416,13100000,0.582011689,7,1051667,고졸,회사원
김명혜,F,전북 전주시 인후동1가,73,171,83.5525,1064437049,30000000,0.050089103,2,8052500,이학박사,회사원
원갑재,M,부산 남구 용호동,60,170,84.345868,1054212825,108400000,4074.115834,6,1845868,학사,자영업
박용해,M,경기 파주시 교하읍,65,168,80.553333,1048316353,38000000,17.49461465,4,3053333,고졸,주부
김옥순,F,경북 포항시 용흥2동,50,154,79.56158,1078254897,19100000,20.02946744,6,2561580,고졸,강사
고상화,F,경기 파주시 금촌2동,47,156,81.554167,1041864250,335600000,75.62136948,2,8054167,학사,자영업
최만기,M,강원 홍천군 내면,60,156,74.055,1053565848,25700000,28.61510677,7,55000,이학박사,학생
이수진,F,서울 성동구 마장동,44,153,63.555833,1027208618,51200000,52.62876573,3,8055833,기타,주부
임흥빈,M,경북 김천시 부곡동,38,136,56.967538,1039778791,574400000,142.0126887,3,3467538,학사,주부
신영준,M,서울 성북구 삼선동3가,57,157,56.556667,1027026516,110500000,2003.84448,6,56667,석사,주부
정화숙,F,경남 진주시 칠암동,68,173,88.5575,1074747991,19500000,17.34002273,4,8057500,학사,주부
임순귀,F,경기 고양시 마두2동,71,176,88.058333,1096381330,6100000,0.316551272,5,8058333,학사,자영업
김복순,F,인천 연수구 동춘1동,36,139,66.059167,1079062650,3200000,6.272222288,9,59167,석사,자영업
박현숙,F,경기 파주시 교하읍,67,168,79.56,1039181335,4600000,4.719696216,10,60000,학사,무직
최남숙,F,경기 고양시 주엽1동,66,163,80.560833,1039946636,33900000,4.814663847,4,1060833,고졸,강사
이하범,M,서울 용산구 용산동2가,49,154,78.5625,1064959103,34100000,38.74749022,4,3062500,대퇴,강사
김분주,F,서울 동작구 대방동,56,155,83.063333,1075389837,33800000,51.07190562,4,8063333,전문학사,주부
강의홍,M,제주 제주시 이도동,78,185,74.564167,1054896181,678500000,6360.380967,2,1064167,중졸,회사원
최국향,F,서울 양천구 목동,47,145,63.065833,1070015445,41600000,196.1357486,3,8065833,고졸,무직
한기연,F,경기 연천군 전곡읍,73,168,72.066667,1080296382,14900000,2.451044095,8,66667,중졸,회사원
박은경,F,서울 도봉구 창1동,38,137,65.5675,1038867027,40900000,123.7099682,7,67500,학사,자영업
조만용,M,서울 성동구 성수동1가,44,149,73.568333,1090259968,2900000,2.999403222,9,1068333,학사,강사
최효진,M,경기 수원시 세류2동,77,180,67.069167,1061172810,29400000,37.33944989,8,69167,학사,자영업
고영례,F,서울 양천구 신정7동,74,183,86.57,1023636707,90400000,115.9469363,3,8070000,전문학사,회사원
조옥순,F,충북 제천시 청전동,39,143,71.070833,1076132086,1000000,0.135987852,7,8070833,고졸,회사원
최용옥,M,서울 송파구 삼전동,71,178,87.071667,1013024854,3400000,0.363782655,6,3071667,전문학사,회사원
최종술,M,충북 진천군 진천읍,53,155,62.0725,1099627942,2300000,0.093087466,9,72500,석사,주부
박명규,M,서울 영등포구 문래동,65,161,69.073333,1086889623,7400000,0.905713067,9,73333,대퇴,무직
조남선,F,서울 영등포구 당산동6가,57,162,74.116419,1054945142,179400000,653.9211577,4,2616419,석사,주부
이재호,F,경기 고양시 일산3동,69,177,83.574167,1088498593,13500000,97.15375481,5,8074167,석사,주부
서수화,M,서울 송파구 방이동,67,175,65.075,1092547918,54700000,168.9408306,5,1075000,전문학사,자영업
임춘자,F,경기 고양시 덕이동,55,150,78.575833,1080666012,2900000,3.316548548,10,75833,학사,회사원
권혁문,M,경기 고양시 탄현동,11,110,55.0775,1056845884,210600000,18.56215077,3,1077500,학사,자영업
조연귀,M,서울 은평구 갈현동,69,176,69.578333,1056895725,298600000,43.422167,3,78333,고졸,주부
이행순,F,충남 천안시 목천읍,39,142,70.579167,1098687717,929400000,520.0159127,2,1079167,석사,회사원
신복순,F,전북 전주시 효자동1가,54,163,81.08,1016384264,44500000,5.526089288,3,8080000,학사,회사원
공수일,M,서울 영등포구 영등포동,72,171,84.717892,1072659046,246900000,798.5975217,3,5217892,석사,주부
유영록,M,서울 양천구 목동,18,126,45.602565,1022268370,15400000,22.3191317,8,4102565,대재,주부
강정순,F,경기 시흥시 매화동,74,171,81.081667,1088527315,149000000,70.48299775,3,8081667,전문학사,회사원
이대엽,M,대전 동구 가양2동,69,179,75.431536,1099817208,162100000,5.534129722,3,3931536,고졸,회사원
권경화,F,경기 파주시 금능동,35,133,62.0825,1058406104,168000000,168.5051785,4,82500,대재,강사
정인규,M,부산 해운대구 좌동,72,173,78.008333,1087502031,68500000,15.86071835,6,8333,대퇴,주부
김성수,M,서울 성북구 정릉4동,76,179,82.51,1077985752,4600000,5.210598811,9,1010000,중졸,무직
김경종,M,경기도 파주시 문발동,76,173,83.510833,1056709006,165300000,912.5387125,3,1010833,학사,회사원
한경자,F,서울 은평구 구산동,45,146,58.511667,1094828002,13000000,31.44813839,5,3011667,학사,회사원
김정숙,F,충북 제천시 하소동,41,145,73.824062,1044180892,298400000,110.7849358,2,9824062,석사,회사원
정영석,M,광주 광산구 산월동,63,165,75.0125,1011051850,419400000,1.214811355,1,5012500,학사,자영업
박상우,M,경남 진주시 신안동,59,168,82.014167,1086740716,741700000,1402.763541,1,5014167,중졸,무직
김영신,F,경기 고양시 삼송동,54,152,75.450885,1091384703,197600000,370.5057892,2,13950885,대퇴,자영업
권주영,F,경기 의왕시 내손2동,37,139,66.406769,1012956937,534700000,2530.800797,1,9406769,전문학사,회사원
김은혜,F,인천 남구 주안6동,43,142,71.470727,1054712847,50200000,68.8770435,3,9470727,대퇴,회사원
김여임,F,경기 고양시 탄현동,48,143,80.515,1056584000,48900000,11.15197126,3,8015000,기타,학생
장차도,M,대전 중구 문화1동,68,167,71.015833,1072288911,33200000,44.17055155,7,15833,고졸,무직
박미숙,F,경기 고양시 마두1동,44,145,70.516667,1014799021,612300000,8291.804344,1,8016667,석사,주부
강석산,M,충남 연기군 조치원읍,50,148,65.746697,1060415325,11900000,13.04221073,8,1246697,전문학사,무직
백주현,M,서울 양천구 신월7동,55,163,71.019167,1034273897,7100000,0.041106087,6,19167,기타,주부
권명순,F,경기 고양시 풍동,73,170,90.157581,1056874439,5200000,0.743378782,6,10657581,학사,회사원
한금분,F,서울 강서구 방화동,61,166,71.423711,1074315492,1700000,1.807262858,9,2423711,기타,강사
김갑순,F,경북 포항시 연일읍,73,183,95.52,1063289988,10500000,17.73909341,5,8020000,석사,회사원
전일선,M,경남 마산시 내서읍,35,142,59.520833,1061015382,3300000,3.436791162,9,20833,학사,회사원
양은순,F,서울 구로구 구로5동,46,148,66.021667,1086664461,31200000,32.61595652,4,8021667,대재,자영업
김인숙,F,대구 중구 남산동,43,140,75.5225,1056238656,60400000,1451.95798,3,8022500,학사,자영업
고정순,F,서울 서초구 양재동,71,175,87.023333,1032427073,6700000,574.7619456,6,8023333,석사,회사원
조금복,F,경남 함안군 군북면,53,160,65.567911,1058623159,19200000,25.7183731,8,1567911,대재,회사원
이영옥,M,경기 성남시 수내동,39,137,55.024167,1094477591,55800000,308.4082706,6,24167,고졸,강사
유한운,M,경기 김포시 장기동,42,148,72.126542,1031918350,22200000,4.285368478,8,1626542,전문학사,회사원
이정구,F,경기 동두천시 생연동,66,167,67.525,1059571653,408800000,652.4379442,2,1025000,학사,계열사직원
정낙삼,M,서울 양천구 신월4동,59,157,73.025833,1070007393,46100000,67.79092749,5,1025833,중졸,회사원
홍영표,M,서울 종로구 행촌동,81,177,77.526667,1050203372,21400000,3.291322827,5,1026667,고졸,주부
노승환,M,경기 성남시 금곡동,47,149,61.5275,1052251076,14700000,29.55760113,8,27500,이학박사,계열사직원
한종훈,M,인천 강화군 교동면,35,135,65.028333,1058302839,9100000,10.12145749,5,8028333,고졸,무직
이태은,F,경기 파주시 교하읍,58,167,72.067826,1055287009,26300000,27.40679605,4,5567826,기타,무직
박응철,M,서울 영등포구 신길4동,74,170,80.029167,1079537643,20300000,0.761034294,5,1029167,대퇴,회사원
이익훈,M,인천 남동구 간석4동,64,166,72.03,1089944239,31000000,135.7386811,4,3030000,석사,무직
윤보근,M,서울 용산구 이촌1동,58,156,69.885175,1023906045,33600000,42.37598089,6,3885175,대재,자영업
이근원,M,경기 고양시 덕이동,43,152,62.030833,1081955906,232900000,320.5295826,3,1030833,고졸,자영업
이연순,F,경기 광명시 광명7동,69,176,74.0325,1030539613,1200000,0.12669066,9,1032500,학사,회사원
신현화,F,전남 신안군 신의면,66,164,81.859527,1031646527,188500000,192.9077492,2,10359527,초졸,계열사직원
배만용,M,강원 춘천시 교동,38,144,70.534167,1098568868,107500000,159.2309515,6,34167,학사,회사원
한정의,F,부산 강서구 대저1동,71,169,92.528614,1012357314,19000000,34.16565668,4,9028614,석사,주부
이종근,M,충남 천안시 안서동,68,164,79.874867,1043384291,1200000,1.889495977,10,2874867,기타,자영업
김경우,M,경기 오산시 갈곶동,69,177,85.535,1079920938,32300000,0.107193048,4,1035000,학사,학생
백남규,M,경기 고양시 장항1동,47,142,77.333174,1085653525,541100000,685.7761336,3,3333174,석사,학생
백영남,F,서울 은평구 불광1동,81,182,93.535833,1033200124,32700000,70.12382108,4,8035833,석사,무직
허영만,M,서울 강남구 압구정동,64,168,69.246038,1011860969,56100000,4.493875473,7,3246038,학사,무직
조춘화,F,서울 은평구 구파발동,58,167,77.036667,1086368149,69100000,97.4263099,3,8036667,초졸,회사원
박옥부,F,경북 김천시 어모면,52,158,73.0375,1011131731,30700000,1.55965986,4,8037500,대퇴,주부
김기을,M,서울 구로구 오류2동,37,142,54.038333,1078148628,16800000,113.8118852,8,38333,중졸,주부
박영모,M,서울 서대문구 홍제3동,81,179,78.539167,1052050033,32100000,2.193240923,7,39167,석사,자영업
노설현,F,서울 동작구 사당3동,72,168,83.04,1062758635,7300000,1.221333177,6,3040000,기타,강사
금형섭,M,전북 전주시 팔복동1가,62,160,68.040833,1045308140,17600000,21.36013059,6,1040833,학사,회사원
이기옥,M,경기 고양시 성사동,38,141,57.541667,1078082875,7100000,1.360374513,9,41667,고졸,전문직
이정은,F,경기 군포시 당동,45,154,79.0425,1079994782,1700000,0.002119,2,8042500,고졸,학생
안윤모,M,대전 대덕구 송촌동,47,150,59.043333,1092334382,21200000,22.43184475,6,1043333,학사,무직
이용우,M,전남 영광군 법성면,63,161,75.544167,1014187742,2500000,3.110694693,9,1044167,기타,회사원
곽미숙,F,경기 파주시 야동동,44,144,68.247343,1013269167,25700000,41.90445133,4,14747343,고졸,주부
김재홍,M,서울 서초구 방배동,71,174,75.545,1089545870,73900000,10.08452855,6,45000,해외유학,주부
함덕근,M,서울 양천구 목동,58,163,70.045833,1083964185,70600000,154.7356563,6,45833,학사,주부
김영열,M,제주 제주시 노형동,78,185,91.046667,1030440511,358400000,40.82216571,4,46667,대재,강사
신동인,M,경기 고양시 일산3동,50,150,75.5475,1084177983,187800000,0.963162645,3,1047500,석사,학생
김재수,M,경북 영천시 화산면,69,170,81.548333,1035801848,4400000,5.033789311,9,48333,대재,주부
김양기,M,경기 고양시 식사동,48,145,71.549167,1036118866,38400000,1.474629234,4,1049167,대퇴,자영업
김이동,M,경기 고양시 풍동,66,165,83.05,1085421125,27000000,82.63552226,8,50000,기타,자영업
최문희,F,경기 안양시 안양2동,35,135,70.280493,1036095516,6300000,0.757667869,9,2280493,대재,회사원
조경순,F,대구 북구 동변동,50,146,70.132311,1093928321,2400000,8.486382891,7,9632311,이학박사,계열사직원
정재관,M,강원 속초시 청호동,1,110,43.050833,1028854080,54200000,55.18791894,6,50833,학사,회사원
고윤정,F,경기 고양시 일산3동,41,138,78.551667,1053733639,1900000,26.33147165,7,8051667,학사,무직
김순남,F,서울 동작구 흑석동,51,152,70.5525,1034321919,42300000,89.64485379,3,8052500,이학박사,회사원
윤미정,F,서울 서대문구 홍은2동,69,176,77.054167,1014967869,39000000,6.241553897,3,7054167,대재,주부
김의철,M,경북 안동시 운안동,68,172,74.055833,1081598938,6200000,35.46931047,9,55833,석사,무직
홍월표,F,강원 정선군 정선읍,63,161,81.556667,1068168571,595600000,1565.802618,1,8056667,학사,회사원
최응녀,F,경기 고양시 풍동,39,148,65.211958,1069695470,150700000,633.0124166,4,6211958,대퇴,자영업
김부덕,F,경기도 고양시 일산서구 덕이동,49,159,67.558333,1049802679,715200000,37.8776444,2,1058333,고졸,회사원
김백환,M,서울 영등포구 양평동1가,42,147,70.059167,1090494065,23600000,2.597531816,7,59167,기타,전문직
윤인선,M,서울 송파구 잠실3동,50,155,80.581602,1010635738,41500000,49.45321428,6,6581602,석사,자영업
강연화,F,서울 은평구 불광1동,58,156,72.56,1020313497,360400000,150.5024125,3,60000,기타,회사원
한정숙,F,경기 고양시 풍동,74,173,92.060833,1068697878,16300000,0.038637293,3,8060833,초졸,회사원
이현대,M,서울 구로구 개봉1동,44,143,60.061667,1012672646,829100000,1537.197928,1,3061667,학사,자영업
이원순,F,경기 고양시 마두1동,44,143,75.0625,1074512004,1700000,31.95128369,7,8062500,고졸,회사원
강상남,F,경기 고양시 탄현동,35,141,74.563333,1080218662,72700000,193.702407,3,3063333,대재,주부
최형욱,M,서울 관악구 신림2동,42,149,73.564167,1097945231,14000000,824.0626288,4,5064167,대재,학생
윤정자,F,경남 함안군 칠원면,66,163,88.065,1092654811,2500000,0.603513705,7,8065000,고졸,학생
민순기,M,전남 신안군 흑산면,44,146,72.686022,1053899238,809700000,814.8277108,3,5686022,학사,주부
강병순,F,부산 사하구 감천1동,35,133,64.440631,1062807674,1800000,0.404510744,8,3440631,학사,회사원
정진훤,M,경기 성남시 신흥동,55,162,68.565833,1015951277,10600000,11.3817559,9,65833,학사,자영업
윤영옥,F,서울 서초구 서초동,50,149,58.066667,1043406898,320300000,34.10588904,3,66667,이학박사,무직
조재희,F,서울 송파구 거여동,59,155,71.87194,1078983253,68500000,70.32854209,4,1871940,대재,주부
심수정,F,경기 고양시 백석동,36,146,65.5675,1048341057,121000000,15.71465307,3,1067500,대재,회사원
원용숙,F,대구 서구 평리4동,63,162,75.569167,1077661365,3500000,0.185791287,9,69167,학사,회사원
홍찬식,M,부산 사상구 모라2동,50,155,70.57,1034271454,11400000,0.658214538,6,1070000,기타,회사원
김동배,M,서울 서대문구 홍은3동,52,155,61.570833,1075207237,18700000,31.57818302,6,1070833,대퇴,주부
노복래,F,서울 서초구 서초4동,66,161,80.605996,1038726424,308800000,43.49577578,2,10605996,석사,회사원
김중섭,M,경기 용인시 성복동,37,141,61.071667,1052045158,11400000,706.1884408,7,1071667,기타,무직
이복인,F,경북 문경시 모전동,51,156,74.5725,1097802646,772100000,2047.863946,1,8072500,석사,주부
김종분,F,경남 창원시 명서동,57,152,66.206667,1060886171,16900000,149.9809196,8,1206667,대재,회사원
김상원,M,경기 고양시 탄현동,43,139,65.073333,1078776100,7300000,3.616953702,8,1073333,대퇴,군인
김왕식,M,인천 서구 불로동,36,135,57.074167,1047068831,1400000,13.79011446,9,1074167,대재,주부
김은숙,F,서울 강서구 방화3동,54,159,83.02825,1090542966,269900000,1.026213871,2,15028250,전문학사,자영업
오혜숙,F,경기 고양시 주엽2동,64,159,74.075,1072940299,59400000,78.7863193,3,8075000,기타,자영업
이정자,F,제주 제주시 일도2동,69,177,94.075833,1090446861,40500000,5.033811052,3,8075833,학사,회사원
박경옥,F,인천 강화군 교동면,61,156,80.576667,1040500288,121900000,16.32601239,3,8076667,대재,무직
김종선,M,경남 마산시 완월동,72,180,76.636145,1089327477,18900000,0.036234038,3,3136145,학사,회사원
김경숙,F,전남 여수시 신월동,55,150,79.0775,1071512518,36900000,43.29639255,4,8077500,대재,무직
강태복,M,서울 강남구 도곡2동,40,149,66.062871,1020384128,107700000,215.7227212,4,4062871,대퇴,회사원
이봉섭,M,경남 마산시 내서읍,51,157,79.578333,1076852087,12800000,13.07920172,6,1078333,대퇴,회사원
이흥열,M,경기 고양시 성사동,72,167,85.579167,1069216205,4100000,4.475928783,10,79167,고졸,회사원
오세용,F,서울 관악구 신림5동,24,124,57.58,1049869942,31200000,93.8221709,4,8080000,석사,회사원
박순분,F,서울 강서구 방화동,63,161,69.080833,1066528892,77200000,155.5288282,6,80833,대재,학생
이재경,F,경남 하동군 진교면,70,170,65.581667,1026074489,335800000,5959.924037,2,3081667,학사,회사원
최평호,M,경기 고양시 토당동,54,150,72.314655,1026137519,75800000,163.95251,6,2314655,학사,학생
임월선,F,경기 고양시 탄현동,60,167,74.0825,1060081662,3200000,4.194158062,10,82500,기타,주부
김태설,M,서울 강서구 화곡1동,64,159,68.508333,1055477124,13200000,16.24363483,8,8333,대재,무직
김연옥,M,경기 고양시 일산2동,63,165,74.009167,1023619015,191600000,198.7652899,4,9167,석사,전문직
문옥기,F,경남 사천시 정동면,62,165,76.073756,1072209451,25200000,696.8641115,5,4073756,기타,회사원
김찬균,M,부산 사하구 괴정2동,50,158,63.01,1046285844,69900000,8.247138544,4,1010000,학사,무직
김순자,F,경기 의정부시 호원동,68,167,67.010833,1072911705,210400000,84.746343,3,1010833,학사,주부
김수창,M,대구 동구 불로동,60,170,66.511667,1040645860,52300000,433.3954837,4,1011667,석사,회사원
고미숙,F,경기 광주시 송정동,33,138,56.5125,1075029059,72800000,16.24373094,4,1012500,초졸,회사원
김진영,M,대전 서구 탄방동,52,161,67.513333,1043863913,811900000,144.8895688,3,13333,기타,회사원
정경인,F,경북 군위군 의흥면,42,143,76.514167,1074095474,14900000,225.0041528,4,8014167,고졸,회사원
김미숙,F,서울 강동구 둔촌동,58,156,73.515833,1073071308,732900000,28.27833334,2,1015833,학사,무직
김승현,M,강원 양양군 양양읍,52,156,74.866331,1047356279,7100000,22.85883542,9,3866331,고졸,주부
김점숙,F,충남 홍성군 홍성읍,53,157,74.516667,1077451598,29800000,52.91193182,4,8016667,대퇴,무직
최순달,M,경기 고양시 장항2동,57,161,75.5175,1055499810,26700000,0.044126335,4,17500,대퇴,주부
김영준,M,충북 충주시 교현동,59,163,71.259136,1043321965,5800000,7.103246919,6,5759136,기타,주부
이숙희,F,경기 고양시 탄현동,69,176,96.518333,1019048701,32100000,4.100682617,4,8018333,학사,회사원
박순동,M,경기 고양시 일산2동,5,102,38.167384,1011597456,15400000,0.529884214,8,1167384,학사,주부
이정화,F,인천 서구 석남1동,75,182,88.02,1065068056,40600000,1132.591291,7,20000,학사,회사원
서미정,F,충남 논산시 부적면,34,144,68.020833,1010877119,44300000,124.7743218,6,1020833,석사,자영업
이수학,M,인천 부평구 산곡3동,47,155,73.021667,1082147122,35300000,128.6518164,4,3021667,전문학사,회사원
이춘휘,M,충남 태안군 안면읍,48,150,62.5225,1056029381,19300000,0.849639852,5,1022500,학사,회사원
김제용,M,경기 파주시 조리읍,75,175,77.032132,1099896148,17600000,117.8763504,8,4032132,해외유학,회사원
김화순,F,경기 고양시 일산3동,41,144,77.523333,1029424888,148200000,1721.854305,3,8023333,고졸,주부
노봉국,M,경기 고양시 화정동,48,148,60.903722,1028351202,9600000,34.81742612,9,2403722,기타,학생
이정순,F,경북 구미시 선산읍,75,174,80.025,1030707205,131100000,19.47766865,3,1025000,대재,학생
윤재명,M,전남 영광군 영광읍,11,110,56.525833,1063014850,422400000,0.4782452,2,1025833,대재,자영업
김재수,M,경기 고양시 주엽2동,56,162,60.5275,1061474750,10900000,13.36567254,8,1027500,대재,회사원
정명옥,F,경기 의정부시 의정부1동,7,107,32.028333,1072419266,66800000,46.88801836,4,1028333,학사,회사원
홍소숙,F,경기 파주시 맥금동,72,167,81.029167,1064033094,30900000,33.75348595,4,8029167,고졸,회사원
한영희,F,전남 순천시 인제동,60,167,82.03,1040612383,63200000,183.5453883,3,8030000,학사,회사원
김제영,M,경기 고양시 고양동,42,148,58.539829,1047930928,595500000,120.0561028,3,1539829,기타,회사원
김용준,M,경기 고양시 주엽동,71,171,64.530833,1084470434,31400000,14.00333493,7,30833,고졸,회사원
박종무,M,경기 고양시 가좌동,39,143,58.98788,1020826250,355000000,12.69554991,3,1487880,대퇴,무직
성기화,F,인천 서구 불로동,64,173,89.032076,1023470922,8700000,84.51114673,5,9532076,초졸,무직
주형임,F,충남 보령시 웅천읍,42,141,55.033333,1041156270,23600000,31.05038451,7,1033333,석사,주부
권태만,M,경기 파주시 교하읍,54,153,66.6649,1018427436,7100000,27.51969984,9,1664900,전문학사,강사
박정미,F,인천 남동구 만수5동,72,171,88.534167,1058426421,47100000,106.9649877,3,8034167,학사,자영업
서귀자,F,충남 예산군 예산읍,54,156,79.535,1060683108,23400000,349.1390887,3,7035000,학사,주부
신혜영,F,경기 부천시 범박동,68,170,70.535833,1099466742,167500000,9.067375254,2,3035833,석사,회사원
윤순예,F,서울 동작구 대방동,64,173,90.499361,1091111201,17700000,3.251733201,6,6999361,학사,무직
임순례,F,경기 연천군 군남면,79,174,89.536667,1012593400,8900000,439.6364355,6,8036667,석사,회사원
박소영,F,서울 양천구 목5동,67,171,81.891078,1037074706,112700000,113.7964286,3,11391078,중졸,자영업
고두남,M,경기 고양시 풍동,54,151,74.5375,1013383708,1200000,16.08234159,10,37500,기타,주부
박용국,M,부산 해운대구 좌동,60,162,67.038333,1019659234,300200000,64.20122829,3,1038333,학사,회사원
이윤희,F,부산 동래구 사직2동,56,166,66.539167,1099747639,34800000,47.70985826,4,1039167,기타,강사
김영권,M,부산 남구 용호3동,7,110,38.04,1083774282,61400000,80.72935156,4,1040000,고졸,무직
이효진,M,서울 은평구 수색동,63,162,62.442173,1084096011,3000000,6.60294095,9,1442173,학사,회사원
이옥순,F,경기 고양시 풍동,39,141,71.904046,1027590880,26000000,3.778570535,8,1404046,학사,주부
유만규,M,전남 순천시 승주읍,72,175,70.041667,1047659638,75300000,106.2498324,4,1041667,고졸,회사원
안미애,F,경기 안성시 공도읍,50,158,73.5425,1039109036,67500000,47.86229274,3,8042500,초졸,회사원
김은미,F,경기 고양시 성석동,49,154,81.043333,1070747605,55800000,564.0864933,3,8043333,학사,회사원
조원제,M,경기 광주시 쌍령동,50,153,63.044167,1030072962,6200000,0.958985876,6,3044167,학사,학생
최광균,M,경기 성남시 분당동,35,142,64.045,1029422630,14000000,0.014744188,3,1045000,석사,무직
오복자,F,서울 강서구 염창동,63,166,88.545833,1025107009,67900000,14.43407888,3,8045833,전문학사,주부
김영복,F,인천 부평구 부개3동,64,167,80.540352,1091240111,100200000,716.5588014,4,2540352,기타,주부
김효길,M,서울 서대문구 남가좌동,46,146,78.046667,1066638177,148300000,508.1830144,4,1046667,고졸,주부
정돌이,M,경기 고양시 장항1동,55,151,65.5475,1093914978,10400000,11.11117047,7,1047500,학사,학생
김도언,M,부산 사상구 덕포1동,72,170,81.548333,1018265288,5700000,0.678811437,9,48333,대퇴,회사원
박옥순,F,경기 고양시 대화동,75,171,77.549167,1073495708,854300000,2939.789882,1,8049167,학사,회사원
송형섭,M,경기 고양시 덕이동,61,166,78.55,1085363581,187100000,16.05847999,3,1050000,중졸,회사원
노병석,M,서울 영등포구 양평동5가,58,167,78.550833,1076495432,35300000,91.17536147,4,2550833,대퇴,회사원
박창환,M,서울 강동구 천호동,52,160,73.93921,1041640065,31700000,39.38279581,5,2439210,학사,주부
이석호,M,서울 서초구 방배동,71,177,81.668858,1048760148,2500000,0.869248357,5,8168858,학사,주부
김용훈,M,충북 청원군 현도면,44,148,70.551667,1081034560,29800000,32.86237941,8,51667,고졸,회사원
정점선,F,강원 원주시 관설동,56,152,75.5525,1096663800,4000000,4.170698342,6,8052500,학사,학생
박종화,M,경기 고양시 탄현동,51,150,64.554167,1099566892,4200000,1.161444361,9,54167,이학박사,회사원
문재의,M,대전 대덕구 송촌동,59,155,79.055,1064452944,19100000,20.67847036,4,3055000,대퇴,자영업
김정애,F,인천 부평구 부평동,74,171,85.055833,1068907183,4700000,0.180801699,5,8055833,기타,주부
최봉연,F,제주 제주시 도련1동,37,136,75.950702,1019443021,76300000,25.9354347,3,10450702,대재,강사
강정애,F,경기 안양시 부흥동,39,135,60.056667,1025659833,78200000,100.9443851,3,8056667,중졸,주부
천병주,M,경기 동두천시 생연2동,56,155,73.5575,1054045907,741200000,2141.831306,3,57500,학사,회사원
안병옥,M,경기 파주시 파주읍,36,133,68.934284,1086243598,337000000,23.99435186,3,934284,기타,주부
박귀중,M,인천 부평구 산곡3동,63,170,71.558333,1098220566,41700000,110.2699101,7,58333,학사,회사원
김현배,M,서울 은평구 역촌동,48,150,76.559167,1073988217,14100000,0.01814742,3,1059167,기타,무직
신상업,M,강원 원주시 단계동,70,167,74.06,1051554237,23900000,24.99312428,7,60000,대퇴,회사원
정순희,F,서울 구로구 개봉1동,61,164,78.818977,1031811837,14500000,34.65260169,4,9818977,석사,자영업
박요순,F,대전 유성구 관평동,75,171,88.560833,1058926191,39700000,1.786727638,3,8060833,대재,주부
이명우,M,경기 연천군 전곡읍,48,155,59.061667,1086091437,3400000,34.63944414,9,61667,학사,주부
최옥자,F,대전 유성구 노은동,44,148,68.563333,1056176722,3100000,0.30228962,6,8063333,대재,강사
정영희,F,제주 서귀포시 서호동,67,163,86.564167,1054829482,75700000,181.1784979,3,8064167,대퇴,주부
박이성,M,경기 김포시 풍무동,64,160,66.565,1014523004,1600000,0.06150776,9,65000,대재,주부
손번자,F,경기 부천시 작동,68,167,88.565833,1057914241,46000000,2.211990963,3,8065833,석사,자영업
권정순,F,경기 고양시 일산4동,54,154,84.566667,1075794979,440500000,2632.082123,2,8066667,중졸,회사원
이근순,M,서울 은평구 갈현동,58,158,66.0675,1066041824,11100000,2.787685362,9,67500,대퇴,무직
박준철,M,경기 화성시 정남면,61,158,63.068333,1098078709,68700000,8.574818915,6,68333,대퇴,회사원
오양수,F,전북 김제시 명덕동,37,139,62.569167,1038124181,1100000,1.411208071,9,1069167,대재,주부
김연옥,F,서울 강서구 방화동,69,167,88.28437,1023877564,8500000,27.92993202,5,11784370,학사,무직
박정순,F,경기 시흥시 신천동,53,148,69.07,1094560005,9600000,160.8929559,5,8070000,학사,회사원
이영하,M,부산 동구 초량1동,61,170,80.095214,1076707428,69300000,28.30600218,6,3095214,고졸,회사원
김기곤,M,부산 부산진구 양정1동,29,134,59.070833,1045563038,600200000,20.90511048,2,1070833,대재,회사원
김기만,M,서울 성북구 안암동3가,43,143,57.553737,1058780360,2400000,0.085350476,9,1553737,석사,회사원
이사일,M,서울 은평구 수색동,52,152,59.571667,1014350769,39200000,4.500933714,4,1071667,대재,회사원
구옥예,F,경기 고양시 가좌동,36,142,77.538268,1012302398,34800000,66.36206226,4,17038268,고졸,자영업
노옥예,F,인천 서구 불로동,69,174,82.073333,1023601463,3700000,0.039799554,4,8073333,석사,회사원
방흥성,M,서울 강서구 가양3동,48,154,76.074167,1054267297,28900000,9.50659771,6,1074167,기타,주부
조남용,M,서울 강남구 논현2동,62,157,63.075,1082103777,114500000,155.0435882,4,1075000,학사,회사원
