,IDX,name,address,postcode,company,job,phone_number,email,user_name,ip_address,credit_card_number,date,total_int1,total_int2,total_int3
1528,1528,김**,경상북도,*****,*****,사서 및 기록물관리사,017-577-****,*****@ju.net,ihyeonjeong,172.22.169.1,228611**********,1987-06-22,833496,248,7784
1529,1529,박**,광주광역시,*****,*****,양식원,061-649-****,*****@inam.com,donghyeonmun,172.30.249.202,480850**********,2006-08-19,484263,579,3730
1530,1530,강**,울산광역시,*****,*****,화학제품 생산기 조작원,062-088-****,*****@yu.com,hanjiyeon,192.168.67.101,353965**********,2010-12-07,803168,226,4479
1531,1531,이**,경기도,*****,*****,방사선사,053-384-****,*****@jusighoesa.kr,areumno,172.27.228.58,604870**********,1999-03-27,996459,956,9365
1532,1532,김**,세종특별자치시,*****,*****,조림/영림 및 벌목원,042-744-****,*****@yu.kr,ii,172.17.60.186,223810**********,1999-10-12,827288,783,5154
1533,1533,최**,울산광역시,*****,*****,철도 및 전동차 기관사,062-980-****,*****@gmail.com,gimjeonghun,10.58.114.77,213133**********,2006-08-10,568853,564,995
1534,1534,이**,전라남도,*****,*****,인사 및 노사 관련 전문가,070-3973-****,*****@bagjoseo.com,jieunhong,172.29.173.149,355903**********,2014-10-03,552090,383,5974
1535,1535,김**,경기도,*****,*****,통계관련 사무원,062-328-****,*****@yuhanhoesa.kr,yangyejin,10.25.40.65,473293**********,1975-11-20,217186,68,1396
1536,1536,신**,충청북도,*****,*****,기타 서비스관련 단순 종사원,032-096-****,*****@coejang.com,li,192.168.119.112,373054**********,1999-07-17,127610,577,6706
1537,1537,김**,전라북도,*****,*****,양장 및 양복 제조원,011-274-****,*****@jusighoesa.com,qgim,10.199.176.157,354822**********,1987-10-06,578393,566,5084
1538,1538,차**,충청남도,*****,*****,신용 추심원,061-095-****,*****@hotmail.com,gimyeongceol,10.101.138.127,358483**********,1980-10-19,665236,98,8278
1539,1539,주**,경기도,*****,*****,자동차 정비원,010-5716-****,*****@yu.kr,jihyegim,10.150.22.89,492840**********,2012-11-17,269602,592,9974
1540,1540,최**,경상북도,*****,*****,양장 및 양복 제조원,016-682-****,*****@yu.com,wgu,10.4.182.161,371549**********,1982-08-30,14694,853,9838
1541,1541,안**,부산광역시,*****,*****,석유 및 천연가스제조 관련 제어장치 조작원,017-348-****,*****@igim.org,seonghyeongu,172.27.104.65,475334**********,1993-07-06,743373,582,6483
1542,1542,전**,강원도,*****,*****,패션 디자이너,053-069-****,*****@live.com,minjae00,172.22.163.206,213148**********,2012-02-10,403967,519,7539
1543,1543,최**,서울특별시,*****,*****,제분 및 도정 관련 기계 조작원,052-074-****,*****@nate.com,siui,192.168.131.17,301775**********,1988-09-14,903482,865,4006
1544,1544,이**,전라남도,*****,*****,웹 및 멀티미디어 기획자,062-911-****,*****@janggweonbag.net,ssim,10.202.118.139,407643**********,1999-11-09,726904,523,6340
1545,1545,안**,광주광역시,*****,*****,비서,051-819-****,*****@hotmail.com,gimeunyeong,192.168.177.244,353545**********,1995-10-26,529721,521,1449
1546,1546,이**,부산광역시,*****,*****,세탁원 및 다림질원,055-501-****,*****@yanggo.com,junyeong92,192.168.253.83,432867**********,2008-08-23,820404,247,8479
1547,1547,황**,광주광역시,*****,*****,주유원,055-080-****,*****@yu.com,ni,192.168.86.200,437250**********,1978-07-01,325250,655,469
1548,1548,이**,대전광역시,*****,*****,보험 심사원 및 사무원,062-307-****,*****@ju.kr,bagjia,172.18.248.182,353045**********,2019-06-29,305404,267,957
1549,1549,이**,충청북도,*****,*****,표백 및 염색 관련 조작원,032-239-****,*****@naver.com,jueungyeong,10.209.171.187,305809**********,2013-09-29,864825,896,2686
1550,1550,박**,전라남도,*****,*****,안내 / 접수 사무원 및 전화교환원,052-048-****,*****@nate.com,gimhyeonjeong,192.168.131.252,453120**********,1992-04-17,622172,55,2856
1551,1551,이**,울산광역시,*****,*****,기타 종교관련 종사자,018-756-****,*****@hanmail.net,gyeonghyigim,192.168.140.209,653690**********,2013-02-01,134450,544,4411
1552,1552,이**,광주광역시,*****,*****,경영지원 관리자,010-4215-****,*****@yunno.kr,minji71,172.24.170.241,401102**********,2012-02-06,584071,340,3352
1553,1553,권**,전라남도,*****,*****,지휘자/작곡가 및 연주가,032-837-****,*****@soni.org,yunseo34,192.168.234.54,302396**********,2008-09-09,880319,108,2721
1554,1554,서**,전라남도,*****,*****,자재관리 사무원,011-711-****,*****@ju.kr,doyuni,172.29.56.242,466141**********,1996-09-17,998681,896,3142
1555,1555,안**,전라남도,*****,*****,항공기 객실승무원,055-443-****,*****@jusighoesa.net,yeongsungim,10.174.175.92,471605**********,2002-12-16,546737,709,8754
1556,1556,김**,인천광역시,*****,*****,생명과학 시험원,070-1556-****,*****@hanmail.net,yeongsigi,172.29.70.140,601166**********,1974-08-06,298340,433,7975
1557,1557,황**,충청남도,*****,*****,기타 금융 및 보험 관련 전문가,042-008-****,*****@hanmail.net,jeonghyigim,172.19.244.155,213155**********,1985-05-28,689064,335,2447
1558,1558,안**,충청남도,*****,*****,치과기공사,041-030-****,*****@live.com,fbag,192.168.45.175,213163**********,2001-08-26,767298,707,9855
1559,1559,이**,경기도,*****,*****,구두 미화원,054-674-****,*****@ju.kr,eunjeonghong,172.20.113.53,451126**********,1973-02-26,539168,765,7468
1560,1560,이**,전라북도,*****,*****,가사 도우미,033-050-****,*****@nate.com,gimjinu,172.22.175.94,304492**********,2019-05-15,154592,951,4129
1561,1561,차**,제주특별자치도,*****,*****,컴퓨터 강사,031-877-****,*****@yu.kr,jihyeongim,192.168.164.212,479465**********,1984-01-14,481663,328,6635
1562,1562,이**,대구광역시,*****,*****,제빵원 및 제과원,019-850-****,*****@hotmail.com,yeongjinryu,10.236.161.200,485246**********,1983-02-11,36017,345,7700
1563,1563,최**,대구광역시,*****,*****,기타 자동차 운전원,042-806-****,*****@ju.com,donghyeon12,192.168.147.91,371238**********,1973-07-15,55934,231,7984
1564,1564,노**,인천광역시,*****,*****,영양사,02-4357-****,*****@hotmail.com,gimseojun,10.213.233.148,448903**********,1974-05-16,394845,618,3017
1565,1565,김**,전라북도,*****,*****,재단사,063-050-****,*****@naver.com,jiucoe,172.18.109.180,449967**********,2003-12-12,971063,14,7705
1566,1566,최**,서울특별시,*****,*****,낙농업관련 종사원,055-261-****,*****@bagocoe.com,gimgyeonghyi,10.146.198.185,658704**********,1999-09-16,844072,894,6694
1567,1567,심**,전라남도,*****,*****,음료 제조관련 기계 조작원,054-026-****,*****@joigim.com,iseonyeong,192.168.5.214,676236**********,1994-10-16,543216,464,8163
1568,1568,이**,인천광역시,*****,*****,농림어업관련 시험원,052-795-****,*****@anjo.net,gimmigyeong,192.168.19.221,301621**********,1979-05-08,100679,672,9289
1569,1569,김**,충청남도,*****,*****,측량 및 지리정보 전문가,062-871-****,*****@live.com,miyeong18,10.16.27.92,654642**********,1979-03-30,645024,442,3686
1570,1570,김**,경상북도,*****,*****,기타 금융 및 보험 관련 전문가,016-252-****,*****@hanmail.net,sinmyeongsug,172.30.209.174,213122**********,2011-06-08,969596,134,3383
1571,1571,김**,광주광역시,*****,*****,경비원,070-6698-****,*****@nameomjang.net,ni,192.168.104.53,304635**********,1971-11-08,186546,454,3643
1572,1572,이**,충청북도,*****,*****,의지보조기기사,063-557-****,*****@nate.com,yeongja57,192.168.20.67,241243**********,1996-12-13,484704,30,2388
1573,1573,김**,전라북도,*****,*****,스포츠 및 레크레이션 강사,02-2335-****,*****@yuhanhoesa.kr,gyeonghyi17,172.21.117.202,604108**********,1970-02-21,584445,846,3821
1574,1574,김**,대전광역시,*****,*****,제품 생산관련 관리자,052-051-****,*****@ju.com,naseojun,10.196.138.18,242949**********,2005-10-26,847783,266,1709
1575,1575,노**,전라북도,*****,*****,법률관련 사무원,061-733-****,*****@nate.com,junhyeog53,192.168.12.197,377103**********,1973-01-25,99100,804,3411
1576,1576,강**,경상남도,*****,*****,음식서비스관련 관리자,070-7345-****,*****@jusighoesa.com,minseo81,10.76.83.220,350276**********,1981-12-30,545805,307,3301
1577,1577,이**,전라남도,*****,*****,하역 및 적재 단순 종사원,044-561-****,*****@live.com,hyejin32,192.168.144.161,418993**********,1970-01-29,108529,585,246
1578,1578,배**,서울특별시,*****,*****,방사선사,043-203-****,*****@ju.kr,gyeongsug06,192.168.89.222,469052**********,1993-04-04,757143,665,2395
1579,1579,고**,울산광역시,*****,*****,판사 및 검사,016-399-****,*****@nate.com,yeonghyi94,192.168.10.144,401986**********,1993-08-28,715483,657,3341
1580,1580,한**,강원도,*****,*****,음식서비스관련 관리자,070-0808-****,*****@daum.net,eunji16,10.58.188.199,376805**********,1989-07-15,967838,550,7848
1581,1581,이**,인천광역시,*****,*****,버스 운전원,011-743-****,*****@jusighoesa.kr,li,10.57.206.164,213151**********,2018-09-11,293823,140,6882
1582,1582,성**,울산광역시,*****,*****,기타 사회복지관련 종사원,042-438-****,*****@hotmail.com,sunjabag,10.19.173.245,342435**********,1995-08-08,164115,435,498
1583,1583,이**,대전광역시,*****,*****,콘크리트공,017-905-****,*****@gmail.com,minjae91,172.17.34.25,494397**********,2006-03-13,886719,347,7645
1584,1584,김**,전라북도,*****,*****,경비원,044-506-****,*****@igimnam.com,coeyeongmi,172.26.141.201,303627**********,2013-10-28,767905,791,2115
1585,1585,김**,전라남도,*****,*****,섬유제조 기계조작원,061-727-****,*****@hanmail.net,seohyeon39,10.147.226.28,356947**********,1997-08-02,865589,543,4256
1586,1586,허**,경기도,*****,*****,물품이동 장비 조작원,053-488-****,*****@live.com,misugcoe,192.168.35.174,601198**********,1987-04-11,863855,496,4474
1587,1587,김**,서울특별시,*****,*****,오락시설 서비스원,033-194-****,*****@daum.net,lgim,172.26.43.56,651414**********,1999-12-20,89469,59,1841
1588,1588,황**,경기도,*****,*****,물품이동 장비 조작원,055-017-****,*****@daum.net,jihun71,172.23.114.23,413678**********,1984-01-11,689815,705,1732
1589,1589,김**,경상북도,*****,*****,택배원,053-857-****,*****@naver.com,iu,10.235.153.91,358946**********,2020-12-11,324959,575,3923
1590,1590,이**,경상남도,*****,*****,한식 주방장 및 조리사,061-496-****,*****@gmail.com,haeun56,192.168.115.103,354132**********,1973-08-01,735424,692,952
1591,1591,배**,울산광역시,*****,*****,어부 및 해녀,033-819-****,*****@dreamwiz.com,bagjunyeong,172.26.61.42,601167**********,2017-11-05,565963,317,5027
1592,1592,장**,제주특별자치도,*****,*****,숙박/여행/오락 및 스포츠 관련 관리자,017-551-****,*****@ju.kr,jiyeong84,10.137.77.19,583348**********,1990-02-20,318987,598,367
1593,1593,차**,대구광역시,*****,*****,제관원,043-809-****,*****@yuhanhoesa.org,subingim,192.168.6.54,630422**********,2010-09-01,229237,956,6918
1594,1594,손**,전라북도,*****,*****,,041-362-****,*****@ju.kr,jujihu,192.168.44.43,347225**********,1974-12-15,878285,719,2988
1595,1595,윤**,대구광역시,*****,*****,조경 기술자,031-905-****,*****@yuhanhoesa.com,jeongsui,10.12.180.161,213161**********,1998-06-05,42291,308,3273
1596,1596,김**,세종특별자치시,*****,*****,전기/전자 부품 및 제품 조립원,010-7281-****,*****@bagi.kr,miyeong49,192.168.113.27,340168**********,1997-09-25,810216,874,5288
1597,1597,한**,광주광역시,*****,*****,화학물 가공장치 조작원,062-367-****,*****@daum.net,njang,10.109.245.246,450267**********,1972-06-08,666249,859,7684
1598,1598,서**,경기도,*****,*****,번역가,018-134-****,*****@nate.com,iyeonghwan,192.168.164.196,459220**********,1970-01-25,117517,269,6418
1599,1599,윤**,울산광역시,*****,*****,기타 배관공,02-7824-****,*****@gweoni.com,seongmingim,10.177.125.216,224341**********,1999-05-03,346134,990,4112
1600,1600,최**,광주광역시,*****,*****,과수작물 재배원,031-391-****,*****@nate.com,jiweon53,192.168.109.143,489651**********,1997-05-01,701529,519,8953
1601,1601,김**,경상북도,*****,*****,애완동물 미용사,042-712-****,*****@gmail.com,ai,172.25.120.210,514091**********,1973-05-24,474303,34,4036
1602,1602,김**,충청남도,*****,*****,위생사,010-2799-****,*****@hanmail.net,lgim,172.19.156.171,405098**********,1992-07-18,424784,813,7720
1603,1603,심**,부산광역시,*****,*****,안내 / 접수 사무원 및 전화교환원,063-547-****,*****@gimii.com,hyeonsug99,172.24.77.139,225485**********,2012-01-07,799976,285,638
1604,1604,전**,경상북도,*****,*****,운송관련 관리자,070-8659-****,*****@gimbaggang.net,sumincoe,10.166.102.114,222210**********,2013-03-01,437179,104,1325
1605,1605,김**,세종특별자치시,*****,*****,단조원,042-746-****,*****@gimgim.kr,phan,10.152.15.51,302389**********,2016-11-07,663203,968,7352
1606,1606,김**,세종특별자치시,*****,*****,대학 교육조교,031-453-****,*****@live.com,pgim,172.29.216.87,248319**********,1990-01-18,328006,201,3201
1607,1607,권**,광주광역시,*****,*****,자동차 정비원,032-469-****,*****@minjang.com,lgim,10.185.124.128,431185**********,1973-09-07,434766,740,625
1608,1608,최**,제주특별자치도,*****,*****,감정평가 전문가,011-608-****,*****@yuhanhoesa.com,seoyunu,10.129.216.51,426610**********,2016-07-03,499487,952,8732
1609,1609,김**,강원도,*****,*****,경호원,055-901-****,*****@gmail.com,pgim,172.19.181.99,375368**********,1998-04-16,996247,823,8696
1610,1610,오**,충청북도,*****,*****,관제사,02-8594-****,*****@gimryu.com,tgim,10.23.4.160,400526**********,1976-03-11,813944,159,1452
1611,1611,백**,대구광역시,*****,*****,장기 부사관 및 준위,061-189-****,*****@jusighoesa.com,gyeongja09,192.168.55.52,270205**********,1986-11-19,997687,626,7226
1612,1612,김**,전라북도,*****,*****,타이어 및 고무제품 생산기 조작원,055-797-****,*****@naver.com,sgim,10.103.191.83,350131**********,2018-10-08,799584,519,396
1613,1613,문**,대구광역시,*****,*****,표백 및 염색 관련 조작원,011-715-****,*****@naver.com,jeonghoca,10.165.13.52,350147**********,1979-05-15,191799,739,6800
1614,1614,이**,대전광역시,*****,*****,기타 음식서비스 종사원,017-557-****,*****@daum.net,ui,10.228.16.18,490730**********,2000-07-19,481399,247,1800
1615,1615,노**,서울특별시,*****,*****,인쇄기 조작원,043-041-****,*****@bagcoebag.com,jaehyeon66,172.26.16.207,445554**********,1998-03-08,977959,632,706
1616,1616,전**,경상남도,*****,*****,미장공,032-609-****,*****@gmail.com,gwangsu33,192.168.33.97,480004**********,2019-01-30,635843,792,1609
1617,1617,최**,대전광역시,*****,*****,중/고등학교 교사,019-928-****,*****@gimseong.kr,seonghun95,10.108.89.183,354039**********,2013-03-03,964711,180,1756
1618,1618,이**,전라남도,*****,*****,치과 의사,02-2231-****,*****@dreamwiz.com,tgweon,172.21.253.9,432702**********,1981-12-08,755936,311,3917
1619,1619,박**,부산광역시,*****,*****,자재관리 사무원,032-924-****,*****@nate.com,bjang,172.25.130.73,462831**********,1979-01-17,307944,552,9383
1620,1620,황**,충청남도,*****,*****,정육원 및 도축원,017-199-****,*****@gmail.com,eunju31,192.168.231.106,441271**********,2014-10-15,746970,548,5204
1621,1621,오**,대구광역시,*****,*****,가구조립원,063-918-****,*****@sonju.kr,gimminji,10.250.187.202,404205**********,2008-01-02,409511,551,604
1622,1622,심**,제주특별자치도,*****,*****,판금원,018-400-****,*****@coei.net,yeongili,10.170.235.118,464535**********,1987-02-03,592267,259,360
1623,1623,장**,경상북도,*****,*****,주차 관리원 및 안내원,063-457-****,*****@dreamwiz.com,jeongsig27,172.19.134.57,675981**********,2007-11-30,2012,899,1243
1624,1624,김**,경상남도,*****,*****,기타 전기/전자기기 설치 및 수리원,055-041-****,*****@gmail.com,rbag,192.168.252.251,427158**********,1995-03-15,942003,935,2407
1625,1625,박**,인천광역시,*****,*****,택시 운전원,010-9597-****,*****@jusighoesa.com,yunyeongjin,172.20.131.76,434964**********,2017-06-07,247992,970,3046
1626,1626,배**,서울특별시,*****,*****,제품 및 광고 영업원,051-096-****,*****@hanmail.net,seoyeon68,172.24.110.226,357598**********,2012-12-30,220562,37,8349
1627,1627,김**,강원도,*****,*****,건설 및 광업 단순 종사원,054-827-****,*****@hanmail.net,myeongsug74,192.168.47.139,481071**********,2013-07-12,670189,889,2513
1628,1628,김**,대전광역시,*****,*****,화학물 가공장치 조작원,043-058-****,*****@live.com,ijia,10.91.174.246,400692**********,2009-01-28,256915,155,8606
1629,1629,김**,경상남도,*****,*****,초등학교 교사,033-984-****,*****@igim.kr,gimsunja,10.59.67.17,475783**********,1978-07-14,796921,938,9271
1630,1630,황**,전라북도,*****,*****,도시 및 교통설계 전문가,010-7202-****,*****@hotmail.com,jojeongja,172.18.37.244,355785**********,1975-09-04,557356,64,9303
1631,1631,김**,인천광역시,*****,*****,패션 디자이너,017-321-****,*****@gmail.com,ygim,172.22.29.0,675989**********,1973-02-08,753988,846,1139
1632,1632,이**,전라남도,*****,*****,기타 사무원,010-7869-****,*****@hanmail.net,areumjin,172.29.1.208,354757**********,1982-09-06,31400,171,1732
1633,1633,이**,경상북도,*****,*****,금속 / 재료공학 시험원,018-814-****,*****@yuhanhoesa.com,yyun,172.21.70.116,425718**********,2019-12-20,89715,551,9571
1634,1634,오**,대전광역시,*****,*****,자연과학 연구원,042-265-****,*****@gmail.com,yeji18,172.19.214.253,305726**********,1992-03-17,299853,599,2614
1635,1635,홍**,경상남도,*****,*****,택배원,031-650-****,*****@daum.net,jeongsighong,172.26.15.31,676328**********,1975-10-05,652188,313,8323
1636,1636,김**,충청남도,*****,*****,유치원 교사,051-221-****,*****@igimi.kr,boram98,172.27.18.78,358173**********,1973-03-06,609710,878,5116
1637,1637,박**,충청남도,*****,*****,곡물가공제품 기계 조작원,02-5796-****,*****@nate.com,vbag,192.168.183.35,347660**********,1988-05-30,165896,900,3599
1638,1638,장**,제주특별자치도,*****,*****,물품이동 장비 조작원,011-947-****,*****@dreamwiz.com,coejihyeon,172.16.119.78,655390**********,1972-06-18,452580,950,3824
1639,1639,윤**,전라남도,*****,*****,과실 및 채소 관련 기계조작원,02-3699-****,*****@nate.com,siu74,192.168.119.241,213179**********,2012-11-27,793280,823,4128
1640,1640,박**,제주특별자치도,*****,*****,화학제품 생산기 조작원,041-469-****,*****@naver.com,jeonghoseo,10.41.180.108,554531**********,2003-11-02,468021,946,199
1641,1641,김**,광주광역시,*****,*****,한식 주방장 및 조리사,044-985-****,*****@hanmail.net,jaehyeongim,192.168.62.169,226307**********,2008-10-09,842164,316,1166
1642,1642,이**,부산광역시,*****,*****,문화/예술/디자인 및 영상관련 관리자,061-212-****,*****@ryuian.com,seonghungim,172.16.218.137,303811**********,2002-04-21,990481,451,7242
1643,1643,김**,경상북도,*****,*****,스포츠 및 레크레이션 강사,053-958-****,*****@nate.com,gimjiweon,10.139.131.110,348229**********,2011-02-19,476852,39,6036
1644,1644,이**,경상북도,*****,*****,전기/전자 부품 및 제품 조립원,010-9648-****,*****@gmail.com,gimhyejin,172.18.230.222,356567**********,1989-08-07,941999,536,6785
1645,1645,이**,경상북도,*****,*****,정보 시스템 운영자,032-903-****,*****@hanbag.kr,eunji42,172.18.70.145,373688**********,1993-01-11,473684,830,9983
1646,1646,홍**,대구광역시,*****,*****,채소 및 특용작물 재배원,02-5217-****,*****@gimbagseo.com,bagmijeong,172.28.203.135,303279**********,1977-07-24,367153,290,5223
1647,1647,김**,서울특별시,*****,*****,기타 배관공,042-264-****,*****@dreamwiz.com,baggeonu,192.168.205.151,451575**********,2011-11-05,347398,895,5268
1648,1648,하**,부산광역시,*****,*****,여행상품 개발자,044-627-****,*****@gangi.kr,ogsunmin,172.23.23.42,453047**********,2012-05-24,783307,825,1105
1649,1649,이**,강원도,*****,*****,기타 판매관련 단순 종사원,044-635-****,*****@hotmail.com,ihyeonsug,192.168.205.162,604795**********,1981-12-23,720334,64,287
1650,1650,박**,충청남도,*****,*****,용접기 조작원,051-616-****,*****@nate.com,jsim,172.16.109.221,480144**********,2007-02-28,430380,976,7758
1651,1651,이**,서울특별시,*****,*****,기타 전기/전자기기 설치 및 수리원,019-750-****,*****@dreamwiz.com,ijeongsun,10.113.15.170,522918**********,2016-10-13,416980,753,7407
1652,1652,황**,울산광역시,*****,*****,기획 및 마케팅 사무원,064-792-****,*****@gmail.com,sangho06,172.27.139.127,300902**********,2016-06-17,587583,837,6715
1653,1653,안**,전라북도,*****,*****,공예원,044-298-****,*****@hanmail.net,junseogweon,172.20.118.158,358977**********,1994-04-28,246266,975,8520
1654,1654,김**,대구광역시,*****,*****,주조기 조작원,017-686-****,*****@gmail.com,yeongho81,172.24.53.201,549932**********,1997-07-03,234718,269,7546
1655,1655,김**,대전광역시,*****,*****,이용사,064-705-****,*****@nate.com,gangjinho,10.145.141.133,229945**********,2008-04-24,919909,677,3152
1656,1656,허**,경상남도,*****,*****,미장공,054-291-****,*****@hanmail.net,namjeongsun,172.18.85.57,377584**********,1970-03-02,542713,413,9442
1657,1657,고**,세종특별자치시,*****,*****,기계공학 기술자 및 연구원,041-284-****,*****@jusighoesa.kr,ubag,172.22.171.57,213157**********,1978-02-03,433284,30,7396
1658,1658,최**,충청북도,*****,*****,간호조무사,02-0268-****,*****@naver.com,ogjagweon,192.168.182.35,676330**********,1997-11-04,82432,513,7394
1659,1659,이**,광주광역시,*****,*****,세탁관련 기계조작원,019-882-****,*****@hotmail.com,caeweonjang,10.24.90.216,354887**********,2007-11-09,264460,134,7610
1660,1660,박**,대전광역시,*****,*****,운송장비 조립원,031-050-****,*****@ju.com,lgim,192.168.12.75,213156**********,1971-09-23,913228,918,3952
1661,1661,이**,전라북도,*****,*****,생산 및 품질 관리 사무원,051-065-****,*****@nate.com,sugja93,192.168.196.148,676298**********,2001-04-07,820609,575,9525
1662,1662,박**,부산광역시,*****,*****,기타 판매관련 단순 종사원,064-725-****,*****@baebagbag.com,yeeun58,172.31.222.86,303192**********,2005-01-09,267801,132,5318
1663,1663,이**,부산광역시,*****,*****,애완동물 미용사,053-205-****,*****@jusighoesa.kr,mi,172.18.128.172,486747**********,1998-05-13,964287,674,593
1664,1664,김**,강원도,*****,*****,자동차 영업원,042-021-****,*****@hotmail.com,sanghoryu,10.188.170.109,428377**********,1999-05-20,503822,722,9910
1665,1665,김**,제주특별자치도,*****,*****,시멘트 및 광물제품 제조기 조작원,019-958-****,*****@baei.com,songjinu,172.28.8.213,503852**********,2020-10-18,192028,264,9167
1666,1666,한**,충청북도,*****,*****,전기/전자 부품 및 제품 조립원,053-494-****,*****@gmail.com,yeongjingim,10.188.50.22,180081**********,1995-01-31,988441,627,5415
1667,1667,황**,광주광역시,*****,*****,보험 심사원 및 사무원,019-403-****,*****@igim.kr,bagmigyeong,172.28.41.167,351739**********,2017-07-21,976712,173,3991
1668,1668,김**,강원도,*****,*****,승강기 설치 및 정비원,070-7469-****,*****@yu.com,minjaegim,172.26.74.92,350142**********,2002-03-19,615084,491,4129
1669,1669,강**,세종특별자치시,*****,*****,시민 단체 활동가,042-239-****,*****@dreamwiz.com,jinui,192.168.188.19,495064**********,2019-01-10,29827,280,2827
1670,1670,박**,강원도,*****,*****,유치원 교사,032-965-****,*****@janghongi.kr,abag,10.125.219.48,356782**********,1987-01-20,590056,335,2156
1671,1671,박**,제주특별자치도,*****,*****,경찰관,054-769-****,*****@coebaggim.kr,oseunghyeon,172.24.243.62,654595**********,1993-01-16,635584,152,6613
1672,1672,이**,세종특별자치시,*****,*****,기타 의복 제조원,043-581-****,*****@hanmail.net,esong,172.22.46.94,652040**********,1971-02-09,957494,698,8667
1673,1673,이**,광주광역시,*****,*****,사서 및 기록물관리사,017-801-****,*****@naver.com,cbag,10.68.151.104,535312**********,1971-08-01,987002,604,7904
1674,1674,안**,부산광역시,*****,*****,전기/전자 및 기계 공학 시험원,064-725-****,*****@hotmail.com,hadonghyeon,10.112.208.141,379387**********,1997-10-26,124621,365,9933
1675,1675,윤**,대전광역시,*****,*****,보건의료관련 관리자,017-497-****,*****@gmail.com,yejin74,10.119.43.169,639056**********,2010-04-29,429780,223,2138
1676,1676,이**,서울특별시,*****,*****,감사 사무원,062-398-****,*****@dreamwiz.com,hyeonjunan,10.132.94.213,475621**********,1978-04-23,718235,735,5217
1677,1677,이**,서울특별시,*****,*****,철근공,070-2168-****,*****@hotmail.com,uan,172.17.127.157,601167**********,1975-01-08,848250,820,4403
1678,1678,박**,세종특별자치시,*****,*****,조경 기술자,063-320-****,*****@nate.com,miyeongi,10.68.158.129,456744**********,2012-07-14,335836,829,1843
1679,1679,백**,충청남도,*****,*****,화가 및 조각가,055-363-****,*****@hotmail.com,eunjuhan,192.168.21.3,223901**********,2019-01-20,222663,966,2648
1680,1680,김**,경상북도,*****,*****,바텐더,019-569-****,*****@hanmail.net,eunju49,192.168.134.239,433091**********,2007-01-12,983135,972,6408
1681,1681,김**,강원도,*****,*****,도금 및 금속분무기 조작원,018-882-****,*****@bagi.com,simjuweon,172.28.189.37,305389**********,2004-12-11,214869,424,4976
1682,1682,장**,서울특별시,*****,*****,사진인화 및 현상기 조작원,033-233-****,*****@gimgim.org,bagmyeongsug,192.168.58.131,490446**********,1978-02-19,485768,773,5191
1683,1683,이**,대구광역시,*****,*****,학습지 및 방문 교사,070-3874-****,*****@hotmail.com,jongsuan,192.168.72.71,639052**********,1990-03-25,70741,711,3998
1684,1684,문**,충청남도,*****,*****,회계 사무원,063-531-****,*****@naver.com,miyeonggo,10.183.56.87,457155**********,1997-10-02,398684,652,9327
1685,1685,강**,충청남도,*****,*****,경기심판 및 경기기록원,062-538-****,*****@live.com,hi,10.116.86.109,352526**********,1985-06-13,195972,41,4006
1686,1686,김**,세종특별자치시,*****,*****,임상 심리사 및 기타 치료사,019-173-****,*****@soniyun.com,wcoe,172.24.210.27,180059**********,1988-05-13,98080,898,7973
1687,1687,홍**,경상북도,*****,*****,건설 및 채굴 기계 운전원,064-737-****,*****@hotmail.com,bagyeongho,192.168.167.255,300546**********,1970-04-16,914420,929,4791
1688,1688,송**,광주광역시,*****,*****,작가 및 관련 전문가,051-653-****,*****@hanmail.net,vyang,192.168.150.200,503897**********,1981-05-21,476652,254,2764
1689,1689,김**,인천광역시,*****,*****,자재관리 사무원,053-985-****,*****@ju.kr,geonu92,192.168.143.163,496552**********,2002-09-26,130432,813,5690
1690,1690,오**,울산광역시,*****,*****,보육 교사,053-292-****,*****@gimcoebag.kr,namsanghyeon,192.168.48.77,355900**********,2010-05-17,759085,180,1297
1691,1691,이**,광주광역시,*****,*****,기타 기술영업 및 중개 관련 종사자,019-248-****,*****@mingim.com,gimeunseo,172.29.196.164,357034**********,1996-02-15,623292,811,7093
1692,1692,권**,서울특별시,*****,*****,공업기계 설치 및 정비원,051-607-****,*****@nate.com,doyun55,10.189.222.31,439387**********,1970-09-28,781524,166,1333
1693,1693,이**,경상남도,*****,*****,통신서비스판매원,063-977-****,*****@hotmail.com,uyun,10.7.187.118,348413**********,1997-05-26,643697,346,3857
1694,1694,류**,전라북도,*****,*****,피부미용 및 체형관리사,064-733-****,*****@hanmail.net,yeonghyian,10.161.17.171,304393**********,2006-09-04,534705,573,6795
1695,1695,김**,대구광역시,*****,*****,피부미용 및 체형관리사,055-804-****,*****@nate.com,gimjeongnam,10.248.152.205,410193**********,1990-10-03,404384,178,3000
1696,1696,이**,강원도,*****,*****,기타 사육관련 종사원,02-8294-****,*****@hanmail.net,jieunyang,172.17.215.184,466764**********,1982-12-20,951371,640,2603
1697,1697,김**,전라남도,*****,*****,데이터베이스 개발자,032-609-****,*****@yu.org,yeongilgim,10.13.254.238,372475**********,1987-03-28,900262,749,9161
1698,1698,김**,인천광역시,*****,*****,기타 연극/영화 및 영상 관련 종사자,052-970-****,*****@live.com,xcoe,192.168.70.222,180014**********,2004-03-04,877325,606,8233
