이름,성별,연령,휴대폰번호,신용대출한도 ,신용등급
윤근수,M,40,1079824343,4400000,7
조영숙,F,59,1035208135,31800000,4
김지환,M,36,1041515503,10400000,6
안의순,M,48,1010025318,25500000,7
홍영란,F,65,1054991228,17900000,4
최준호,M,58,1093710444,25700000,5
한봉현,M,38,1040585182,888200000,2
최인녀,F,53,1066435505,259400000,2
이정순,F,38,1019909570,25400000,5
오봉환,F,62,1024723991,469300000,2
김석진,M,68,1072187679,11700000,4
이종호,M,45,1012080922,1900000,10
김상구,M,39,1073117004,1100000,9
김회원,M,82,1024489441,14500000,7
최윤서,F,50,1057141390,2100000,9
김진성,M,41,1079127997,12600000,8
송선순,F,70,1073032373,692900000,2
장기천,M,25,1017894661,16600000,6
이동원,M,71,1033437516,2300000,9
남은주,F,48,1038484073,412200000,2
김기석,M,50,1016131728,116700000,3
나건웅,M,48,1046389159,40400000,7
김윤곤,F,49,1013153469,3000000,10
강소영,F,71,1091056225,27100000,4
이명옥B,F,46,1012477043,74500000,3
김태을,M,38,1094825731,218200000,3
안경미,F,41,1069420834,4900000,6
이오복,F,61,1093546905,449600000,3
김창도,M,70,1074795951,2600000,9
이기상,M,77,1069243135,41600000,7
손금자,F,51,1078839513,14300000,4
남현우,F,53,1031958540,20800000,8
최도준,M,56,1022413937,334300000,3
신세남,F,49,1052522187,34100000,4
박기복,M,49,1064642208,198200000,2
황동순,F,60,1055389591,8500000,8
양순용,M,57,1083492953,16900000,6
권정미,F,57,1082394894,28100000,3
이윤희,M,38,1078133807,834100000,2
임원식,M,49,1057062573,420700000,3
강성만,M,72,1014342093,1200000,10
이판식,M,53,1052296781,358700000,2
최순란,F,35,1049303042,42100000,4
이명순,F,63,1052666811,712000000,1
정삼재,M,58,1039807862,246500000,4
임경묵,F,60,1096228435,13000000,5
심명국,M,49,1057924423,198600000,4
김막내,F,61,1037276496,35800000,6
최종연,F,76,1022399031,48400000,6
박계수,M,25,1093938739,14800000,6
윤영미,F,62,1016749208,212300000,4
이옥순,F,54,1027055397,4700000,6
노영수,M,68,1010260181,3800000,8
나재식,M,74,1092263614,39100000,4
황명자,F,63,1070030188,141100000,3
서상곤,M,80,1016751067,54100000,3
이종숙,F,43,1083185696,466200000,2
김계종,M,71,1017529651,39000000,5
김서율,F,54,1076666083,342400000,2
김진풍,M,63,1045466880,56000000,3
최영창,M,53,1017303981,154000000,5
김영로,M,65,1072417342,1700000,8
허석기,M,42,1044356788,18200000,8
신윤임,F,71,1056590545,175600000,4
오세만,M,69,1059620158,17400000,4
하숙경,F,50,1036119880,31800000,4
이영균,M,69,1071124117,44200000,3
김춘산,M,30,1081772846,81900000,4
최진배,M,43,1077765790,26800000,7
유기화,M,59,1022101942,25300000,8
김상오,M,43,1058377639,57100000,4
문복자,F,41,1046877419,26900000,5
강신오,M,28,1041127157,65100000,6
신상희,F,44,1067227158,290500000,1
김영자,F,42,1023423415,7300000,7
김점순,F,59,1073072752,1800000,6
임성운,M,36,1056951976,18800000,8
최삼용,M,55,1050174817,53100000,3
한재우,M,50,1061512919,13500000,7
심해구,M,64,1053100189,13800000,8
우숙자,F,41,1058759660,511900000,3
고순희,F,71,1043635175,6100000,6
나혜옥,F,78,1084958566,5900000,6
조예기,F,35,1096504851,14900000,4
김금희,F,49,1073222315,145400000,5
정복화,M,61,1065220591,67000000,6
남희승,F,44,1013471935,7100000,6
이의수,F,62,1033745819,464900000,3
박선덕,F,63,1015317844,12700000,8
정덕문,M,33,1065652684,200700000,3
이영희,M,61,1037816229,66000000,4
이영희,F,39,1029839690,248800000,2
최순옥,F,69,1020662275,204400000,4
김덕진,M,57,1045847139,12100000,8
전원분,F,49,1085124244,2700000,7
김맹순,F,41,1027134746,1000000,7
김순철,F,62,1084288421,219100000,3
염복임,F,71,1052396649,14500000,9
홍애기,F,61,1029245690,228400000,2
김영호,M,41,1080182260,2400000,10
민선영,M,64,1073397387,45000000,4
정혜영,F,71,1099050426,538300000,1
노정임,F,58,1077735549,47200000,3
오경아,F,70,1016791385,8000000,6
김기대,M,42,1078836970,2300000,10
김헌덕,M,42,1080674441,264700000,4
김미숙,F,47,1051839773,420000000,2
백광우,M,62,1077343364,534800000,1
이문환,M,23,1071662471,618200000,3
장영옥,F,54,1088327564,17100000,8
이덕수,M,48,1092618099,2500000,10
이숙재,F,65,1048058384,31900000,4
이문자,F,63,1063874345,8300000,7
박다남,F,40,1051270698,9700000,5
박지희,F,75,1067057876,14600000,3
지정돈,M,60,1097782894,96900000,5
신갑년,M,69,1069839944,45100000,4
최숙기,F,62,1087115994,67100000,3
정임순,F,59,1073631899,746200000,1
이덕근,F,70,1091283645,25100000,4
연향자,F,52,1022391498,628900000,3
하윤형,M,27,1086165047,357700000,4
김해용,F,14,1042892468,18300000,4
윤은주,F,64,1099447959,36900000,4
이숙자,F,55,1073822957,245100000,2
윤여준,M,69,1040658165,6200000,6
이정숙,F,55,1054527292,348900000,2
이한도,M,43,1063326350,31000000,5
최승정,F,50,1014897164,262200000,2
김동호,M,50,1099445387,138500000,5
정연명,M,63,1094888404,353800000,3
김영준,F,48,1083567414,11500000,5
정성열,M,33,1046320734,641400000,3
김혜자,F,69,1035725151,104100000,3
이경신,F,76,1014114782,12300000,7
김병열,M,58,1075259242,2800000,10
김옥임,F,72,1049408256,3100000,7
강신남,M,64,1033226405,61400000,7
송재순,F,67,1016116772,84300000,4
이영흠,F,48,1031695551,15000000,9
정병달,M,54,1052779774,254800000,3
권영주,F,67,1041145419,3100000,10
조석주,M,41,1086556176,24900000,7
노옥녀,F,55,1033814549,14100000,6
문옥기,F,62,1072209451,25200000,5
정명옥,F,7,1072419266,66800000,4
여수영,M,71,1072318411,740100000,1
전서환,M,65,1036484220,52500000,7
장석은,M,67,1053139962,8100000,9
최영숙,F,36,1063351178,3500000,10
김형문,M,39,1084326137,1600000,9
정남윤,M,49,1047302011,15800000,8
이윤하,M,40,1057186610,11700000,9
김금주,F,49,1033843340,1100000,6
최은하,F,47,1041165809,988700000,1
심규정,M,81,1077588162,657000000,3
명금자,F,57,1021837799,442300000,2
윤의명,M,61,1039563128,76500000,4
김재웅,M,48,1041258905,69700000,6
홍인순,F,39,1067407906,23900000,4
이제하,M,83,1041074932,2500000,7
민영태,M,70,1031057805,76100000,4
장효숙,F,65,1016828508,4900000,6
이상태,M,40,1015827116,13000000,4
박종국,M,64,1043153425,75700000,3
신계화,F,51,1054467262,706300000,1
양연희,F,48,1047509200,24800000,4
이기봉,M,84,1050476843,701500000,2
곽은옥,F,57,1049965870,20500000,7
우양섭,M,50,1023255245,27700000,5
양승용,M,80,1082564866,293500000,3
신경환,M,55,1018980167,7100000,8
조철원,M,56,1067771965,387000000,2
박월순,F,63,1023910322,495700000,2
고인숙,F,35,1024861247,20100000,4
남기빈,F,23,1057452780,69000000,3
김기태,M,43,1073359908,217900000,3
김영자,F,66,1040904740,59000000,3
송준환,M,71,1085634007,7800000,5
이미애,F,80,1066717066,11900000,8
이상태,M,83,1097983320,506600000,2
이계선,F,50,1067037059,10000000,7
김정순,F,47,1040205069,50700000,3
손승녀,F,53,1058194470,24600000,7
이명술,M,62,1058787268,18800000,6
박정자,F,58,1090450928,998200000,1
이옥예,F,59,1057847866,64900000,3
박성환,M,28,1092167701,9200000,9
이진우,M,61,1054454158,5500000,8
오영화,F,59,1023233938,249100000,2
이윤표,M,67,1060104169,50600000,3
김장춘,F,47,1062847394,17500000,4
백준명,M,48,1040276675,496200000,3
이석배,M,41,1042764806,5600000,9
임형일,M,66,1074452549,321900000,2
김영욱,M,39,1048067169,2400000,10
김덕선,M,69,1075419146,43000000,6
유창호,M,79,1073235363,60800000,4
김남순,F,72,1075768506,549600000,1
박선금,M,47,1069725609,3900000,3
정미숙,F,51,1046053993,172000000,2
김복랑,F,72,1011458176,345100000,3
김규환,M,54,1062218074,19700000,7
주명철,M,74,1020889925,882600000,1
이희재,F,68,1052955424,2600000,6
민기식,F,53,1075090365,85300000,3
하헌영,M,62,1042606333,29600000,4
정이랑,M,69,1085939442,64100000,6
정혜자,F,54,1061225895,35300000,7
박공남,M,56,1040555192,2300000,9
강봉원,M,55,1038984782,129200000,3
박시현,F,76,1070157697,47700000,3
박찬열,F,53,1089974282,42800000,4
조의연,M,42,1026478373,238900000,4
김구엽,M,43,1069051534,12900000,8
박근희,M,61,1052418325,8000000,6
이광식,M,32,1071265032,259100000,4
한상래,M,52,1020956987,429900000,3
이수용,M,46,1019512817,1700000,9
최병식,M,48,1076864311,12300000,7
박성배,M,69,1044721283,55600000,6
김기환,M,42,1017738422,62300000,4
정동수,M,62,1084928439,2500000,8
박윤순,M,68,1015231623,47600000,4
김춘화,F,55,1059694411,12400000,5
김진만,M,61,1011468911,287300000,4
김진경,F,48,1047242414,14100000,4
문영순,F,48,1056876323,1400000,10
김지선,F,67,1079684811,10300000,6
임은영,F,52,1034741620,29500000,4
이청아,F,57,1030944743,50000000,7
윤유형,F,31,1049765225,906000000,3
차노식,M,46,1017746741,78600000,6
홍연숙,F,62,1068718982,782300000,3
신정아,M,62,1010173838,75600000,4
서정자,F,68,1037276640,53100000,3
김현경,F,39,1013785612,241400000,2
김숙현,F,74,1049539857,7600000,7
이순혜,F,70,1065198129,37900000,7
김성중,M,61,1039731001,72300000,6
도신기,M,41,1019040161,4000000,7
최영준,M,50,1038786915,218100000,3
이차복,M,67,1094484753,26300000,3
김수길,M,42,1057342310,65500000,5
유용식,M,52,1036123341,38200000,6
임춘자,F,46,1048352796,53100000,3
김동일,M,30,1021311324,248200000,4
권용석,M,62,1036445112,1100000,8
오상수,M,67,1088224767,37800000,7
김진보,M,51,1052679305,37700000,4
윤선필,M,57,1068419637,1300000,6
정연님,F,39,1058975024,2000000,7
윤상주,M,12,1014579660,43100000,7
이배원,M,37,1089697856,5400000,8
안정미,F,40,1098025481,37900000,3
서점열,M,39,1029973556,137200000,3
김종임,F,3,1027333315,148100000,3
신건애,F,42,1013925948,767800000,1
한병권,M,77,1038936978,907600000,1
원동철,M,58,1044235041,209300000,4
고정례,F,46,1050729933,25600000,4
김규진,M,38,1091087957,7500000,6
손영숙,F,42,1048723246,700300000,1
신예순,F,67,1037651901,821200000,1
장민철,M,56,1090202584,87900000,4
박영일,M,61,1066835177,62500000,6
문혜원,F,50,1067297664,17700000,7
이춘자,F,65,1054753856,34900000,4
한윤자,F,39,1064147547,5500000,8
김광래,M,47,1030127328,6300000,8
김현주,F,57,1038681323,3800000,6
민완기,M,44,1083581340,149300000,3
박흥구,M,75,1031770928,21300000,7
김혁규,M,48,1018297283,57400000,6
박양해,M,65,1047171901,12900000,6
정영환,M,45,1083893869,2400000,10
류근수,M,59,1055663093,106100000,6
최을림,M,63,1090351856,12600000,4
이한무,M,30,1034398754,904200000,2
김영모,F,69,1045307624,17700000,4
박재현,M,61,1072061976,5100000,8
최상덕,F,50,1034332627,12100000,5
남기성,M,72,1060474940,11600000,7
김근아,F,33,1025722297,6400000,6
홍순지,F,80,1038453811,16800000,4
조연익,M,45,1029707581,16800000,8
한봉수,M,46,1073787914,10700000,7
김미연,F,45,1046631486,6700000,7
임봉일,M,64,1016096571,78700000,5
정기채,M,61,1024260691,1100000,9
명소희,F,61,1017654658,252800000,3
임주현,M,49,1023692894,187500000,4
정정희,F,30,1057620342,105100000,3
김선미,F,58,1082059343,18500000,8
김학준,M,50,1099259089,15000000,3
신점순,F,62,1042936627,856800000,1
한승봉,M,27,1011615555,208400000,2
박찬도,M,71,1027497535,2300000,9
이삼현,M,72,1041696800,4500000,9
김근호,M,68,1058245522,14400000,7
박화자,F,65,1020551705,387300000,2
유용성,M,62,1077610054,845600000,2
김복순,F,72,1028005857,1500000,7
박명자,F,44,1073000130,5500000,9
김선현,F,54,1087634899,1500000,8
천춘자,F,64,1055670262,43100000,7
김현정,F,48,1058834249,32100000,8
방복순,F,52,1026965421,5900000,9
김선숙,F,51,1051482138,3000000,8
이효권,M,45,1083521060,2500000,10
김수희,M,49,1082492266,2900000,8
김승철,M,61,1017942649,557300000,2
이정수,M,57,1059516325,92900000,3
이일형,M,41,1074798568,15900000,8
박미옥,F,67,1047112203,1800000,9
윤길상,M,27,1069384406,35400000,4
최창분,F,71,1038756408,2400000,7
황미양,F,69,1097097339,39200000,3
이미란,F,70,1068320055,6900000,3
손기호,M,62,1012442724,24400000,4
황영자,F,60,1086277781,321200000,2
박훈,M,22,1063410633,23000000,8
이경순,F,48,1039131817,3300000,7
임도자,F,63,1027780808,142200000,2
김옥라,F,51,1079918657,84100000,2
전용환,M,44,1088716725,42700000,3
김분주,F,56,1075389837,33800000,4
최문희,F,35,1036095516,6300000,9
박창환,M,52,1041640065,31700000,5
김용훈,M,44,1081034560,29800000,8
문재의,M,59,1064452944,19100000,4
안병옥,M,36,1086243598,337000000,3
김공인,F,48,1080622953,4100000,6
김순분,F,60,1094128435,300800000,3
최영숙,F,38,1055727336,977900000,3
김복례,F,73,1086088334,30200000,5
하송미,F,38,1020972956,26000000,4
강일수,M,36,1051569966,104700000,3
김병주,M,46,1083049721,35500000,4
노재술,F,75,1027389945,951400000,1
정광호,M,60,1052491123,14500000,8
이정희,F,35,1065295998,78400000,3
김동주,M,46,1054086308,7700000,7
유현선,F,35,1013789096,39600000,4
정미숙,F,49,1075508583,451800000,2
최예숙,F,73,1049232109,16900000,4
김종석,M,48,1047098316,71700000,6
김정경,F,70,1088918222,89200000,3
이덕자,F,60,1028004894,37200000,3
박미애,F,70,1054676292,150100000,4
김부근,M,41,1030610848,2800000,8
윤영희,F,61,1018447525,99800000,3
김춘옥,F,62,1022921544,42500000,7
김성진,M,66,1064180964,15400000,6
유영연,F,59,1076643867,17400000,7
홍승희,F,60,1044493576,5100000,6
이동보,M,73,1084378224,2100000,9
박승영,M,38,1017872495,65000000,3
윤은숙,F,58,1093347698,948900000,2
남순자,F,60,1023983994,19300000,4
최완호,M,58,1029457293,496800000,3
지순옥,F,37,1038370474,8600000,6
김수이,M,41,1023901127,27400000,7
정영희,F,48,1026001444,1200000,7
홍순성,M,48,1088935327,4100000,7
황태옥,F,48,1021791820,4500000,6
김태영,M,53,1065979806,56900000,7
박정숙,F,67,1034704953,12200000,5
안세영,M,69,1056192609,22600000,6
이진석,M,71,1075737867,212100000,3
정혜숙,F,37,1014856399,17100000,4
김태자,F,61,1045018090,625000000,1
한윤종,M,46,1084190365,23200000,7
정윤희,F,33,1044701131,13200000,5
강호성,M,70,1028538768,469000000,2
양근옥,F,30,1076945458,69100000,3
노순,F,70,1052012595,41100000,3
조필현,M,43,1039932563,2000000,10
윤성숙,F,44,1098749182,43400000,7
김경애,F,34,1020355351,15400000,4
심행운,F,53,1099747295,20500000,4
한경철,M,47,1060585868,92700000,6
박영자,F,42,1098355281,55500000,3
김용식,M,14,1029381973,47200000,6
조휴일,M,69,1087045129,35100000,4
차선호,F,50,1024310324,2800000,9
이시희,F,65,1051807621,14500000,4
권순옥,F,54,1025702832,22000000,7
김학수,M,67,1041232810,17300000,8
이숙자,F,49,1075996856,382700000,4
이정희,F,41,1065781636,16300000,4
고광한,M,67,1062551883,506300000,3
오수붕,M,45,1077609755,11800000,9
고은주,F,41,1051383787,12000000,5
정정여,F,61,1020448218,1300000,7
최원용,M,43,1018564159,670900000,1
김명순,F,76,1018560775,6700000,4
유희숙,F,74,1032802154,30700000,4
차순자,F,66,1051628554,518700000,1
김천연,F,66,1025591564,3400000,6
정동선,M,66,1024475408,3500000,9
이석우,M,66,1091612746,7400000,4
이정휘,M,68,1011070377,33800000,4
한기월,F,68,1021787918,680600000,1
정용규,F,63,1065739572,56500000,4
이우진,F,56,1069611691,702900000,1
김정심,F,44,1058246788,35400000,3
조양근,F,38,1044686451,8700000,9
김종복,M,65,1054913772,26200000,7
이재춘,M,51,1040438756,3100000,8
이계순,F,36,1095247591,33000000,4
김영희,F,67,1052824982,48400000,3
이명노,M,45,1050200323,2000000,10
윤옥진,F,71,1069245003,891000000,1
김행길,M,48,1031354362,26900000,5
이옥순,F,74,1083663788,244800000,2
박영신,M,38,1047789005,2300000,9
유연숙,F,41,1096663663,74900000,4
안용수,M,49,1093537671,16500000,8
이쾌한,F,58,1022257408,33100000,4
신갑열,M,60,1094803421,118600000,3
최금임,F,45,1045134320,71900000,6
장연애,F,59,1025993833,5100000,4
엄명숙,F,41,1055411668,953600000,1
김형태,M,71,1031424152,1500000,9
이예삼,F,50,1042174828,303400000,3
이희호,M,60,1090103663,2400000,9
김희영,F,63,1075586821,3400000,3
박영선,M,39,1057479179,57100000,5
김영옥,F,56,1049821802,496400000,2
김진송,M,60,1083102550,3700000,9
최대식,M,48,1013521405,46600000,4
최금순,F,57,1061066584,19900000,8
맹주경,M,48,1013157329,616500000,3
김종호,M,51,1037342546,244800000,2
배미원,F,59,1054912167,29000000,8
이인옥,F,60,1075027665,27300000,7
이용환,M,48,1044096095,447400000,2
안성자,F,55,1073929228,4600000,6
강헌필,M,59,1058167958,101200000,4
서미경,F,51,1086554406,77600000,6
김고경,F,47,1014929228,4900000,9
김순자,F,60,1056418516,8600000,5
조중현,M,62,1074100686,152200000,4
정인환,F,61,1081805770,645700000,1
박동선,M,69,1030227230,2700000,8
김영삼,F,68,1092603404,175100000,2
서희숙,F,53,1084228540,824900000,1
이성연,M,61,1023533790,139900000,5
맹진영,M,51,1060699068,42800000,4
최동진,M,64,1084595192,404200000,3
김순희,F,60,1059012750,10600000,8
이일재,M,51,1015551687,2200000,9
이승재,M,59,1043226767,12000000,9
이민자,F,67,1084315706,2000000,10
유애자,F,39,1087915498,10700000,5
홍서윤,F,50,1087837169,6800000,7
배영진,M,70,1072820515,165900000,2
정구숙,F,31,1097783267,46000000,3
이정호,F,75,1053824063,7800000,9
이중식,M,62,1035095475,111000000,3
조경원,M,30,1087834587,29900000,5
김월천,F,71,1036941981,18100000,4
윤정숙,F,44,1048528854,36300000,4
박선규,M,33,1035272772,9200000,7
안백만,M,44,1051359223,101000000,6
정규대,M,65,1040451300,27900000,5
이정술,M,67,1057657984,195600000,3
정철진,M,67,1012986093,26300000,7
김정남,M,75,1065647195,203300000,3
김순덕,F,59,1070447595,559200000,1
윤은영,F,33,1095543491,81300000,3
나현,F,74,1017093944,75700000,3
박승섭,M,46,1093644314,2300000,10
권귀옥,F,57,1015365861,556900000,3
손대경,M,54,1036569683,18200000,7
정순임,F,56,1019239536,2200000,7
홍사문,M,67,1053728528,518200000,3
김옥선,F,29,1066277704,180400000,2
이순임,F,44,1045114289,16700000,4
김기순,F,65,1089725065,2200000,7
김수응,F,49,1035179978,41100000,7
오상기,M,52,1030207042,16400000,6
김동환,M,76,1039226250,1100000,9
선홍서,M,62,1024840159,13300000,8
윤병완,M,62,1045178902,7800000,8
고계월,F,72,1097311117,38900000,3
이희성,M,63,1078160835,24600000,3
박영모,M,81,1052050033,32100000,7
민순기,M,44,1053899238,809700000,3
양우식,M,58,1014547464,1100000,10
손인자,F,53,1038626836,2600000,9
이승훈,M,54,1013506665,37700000,7
김영자,F,54,1046245577,3000000,3
김봉자,F,60,1018911824,7600000,9
전덕수,F,58,1060261756,25700000,6
김판덕,F,43,1013390959,4900000,7
김철선,M,48,1020612933,104700000,6
안구준,M,68,1048370984,351900000,2
김영일,M,61,1012679958,4900000,9
김용섭,M,53,1069618847,40600000,3
박미경,F,68,1087646479,605900000,1
한성식,M,54,1084785435,21600000,8
황장일,M,67,1078938225,9100000,7
권옥선,F,58,1097850599,15100000,6
윤완수,M,37,1012868224,7500000,9
김화식,M,47,1069647052,17000000,8
최순녀,F,49,1092251228,4200000,6
하상임,F,79,1013688620,23800000,5
강외숙,F,83,1089449332,15200000,2
김평록,M,56,1054951604,1100000,9
김선희,F,81,1079857531,2400000,7
최지영,F,40,1066385620,89600000,3
김춘애,F,53,1086527879,1900000,10
한월선,F,61,1092344960,335500000,3
최미애,F,65,1031820486,98700000,3
이용순,F,65,1095917370,75600000,3
김순자,F,62,1010653011,982600000,3
이재호,M,69,1069925911,78000000,6
강신학,M,44,1063029588,12600000,6
박명자,F,47,1085718960,29500000,4
한분여,F,58,1059526456,51900000,6
김영배,F,58,1040015094,153000000,3
장정수,M,36,1030909515,1500000,9
최응태,M,73,1092669439,545500000,3
이병수,M,56,1011630641,594400000,3
박필여,F,65,1073590455,422400000,3
이명진,M,53,1049786553,7500000,9
송세헌,M,73,1023651351,586300000,3
김백,M,80,1043999114,4000000,9
김철상,M,38,1010839025,2100000,10
전인환,M,55,1083613864,61200000,3
유미순,F,35,1015346735,8500000,7
임춘복,M,49,1061198687,6900000,9
우순옥,F,46,1010637914,6800000,6
권희원,F,44,1035628792,54000000,3
강순애,F,61,1034447067,406000000,3
강명희,F,46,1088312507,22800000,8
안영숙,F,43,1078544830,29100000,6
김현영,F,44,1091639398,45900000,1
유도라,F,70,1042131223,16900000,4
곽순태,M,70,1019582179,3800000,9
권필순,F,17,1084485121,62500000,4
신승관,M,67,1093357817,5700000,9
진종수,M,72,1054664315,22400000,7
황규식,M,42,1071666559,39100000,4
윤선용,M,14,1087789814,61000000,3
문경수,M,44,1032606711,16600000,6
박임한,M,71,1026435706,14500000,8
류해명,M,28,1071819102,21800000,3
송영호,M,75,1045918786,17200000,4
황용하,M,61,1081950284,8300000,9
김창열,M,62,1030110542,88000000,6
방손순,F,69,1028120474,12100000,9
남궁금숙,F,38,1052775438,7400000,9
임석기,M,62,1055664096,185300000,3
이복임,F,71,1014106078,38600000,3
김성순,F,61,1054004545,46800000,4
서봉철,M,14,1082412661,20700000,3
정동석,M,67,1012693206,7600000,5
이지수,F,73,1072535749,77200000,3
정순복,F,42,1014614340,195500000,2
김광일,M,60,1039700744,224200000,4
강영재,F,57,1032664219,34000000,4
이연화,M,71,1079733377,18700000,7
김만조,M,53,1073036580,527500000,2
조행삼,M,65,1087370435,283100000,4
임영웅,M,43,1082482737,217500000,4
송태문,M,46,1084497599,5800000,9
유영심,F,71,1047255478,360900000,2
노영애,F,63,1023039260,5200000,9
이치화,F,55,1085259028,391900000,3
강순희,F,54,1085791518,61900000,3
고경희,F,55,1098368786,6000000,5
우상균,M,61,1046235682,111300000,4
남유경,F,65,1032735197,4800000,6
고시순,F,73,1043105821,4500000,6
김천석,M,65,1040928323,35200000,4
김순영,M,57,1040657663,251600000,3
박문병,M,50,1044611763,379900000,3
서선자,F,44,1017357685,2600000,6
조숙자,F,71,1056688450,5200000,9
이기홍,M,51,1072922946,27000000,7
조재위,M,65,1018549579,11500000,5
장정순,F,28,1086317543,657800000,1
허기연,M,63,1071601416,5800000,8
유영희,M,50,1094551607,27900000,5
박준호,M,55,1078544816,30700000,8
최우길,M,63,1044888610,21600000,8
조경중,M,42,1092786161,18700000,8
성종호,M,41,1032949420,68000000,3
김소순,F,41,1029468879,298100000,3
권흥락,M,41,1065187180,34700000,4
이미향,F,49,1043776717,36800000,4
배형진,M,6,1042458353,10400000,5
박민호,M,54,1011077375,12000000,8
이상,F,36,1042653392,6200000,5
임상만,M,27,1017974061,110000000,4
유영호,M,64,1051525827,53000000,5
박정순,M,71,1083468753,6100000,9
최금자,F,78,1011309012,32200000,3
국중석,M,54,1049390561,70200000,4
안홍식,M,37,1041473851,1700000,7
박순자,F,51,1017551700,40500000,7
조원길,M,49,1056299062,4500000,9
남궁연,F,39,1049982757,30000000,2
반미희,F,69,1063383024,40800000,3
이일호,M,48,1012825743,57900000,6
김미라,F,55,1075225634,195300000,2
최규호,M,52,1088246104,81600000,4
김민원,M,47,1011091540,12100000,9
최학수,M,84,1089150623,61800000,3
함종식,M,41,1014535076,499700000,1
박신부,M,50,1013514709,6100000,9
강규호,M,49,1030557659,184500000,2
박지은,F,27,1071437825,36300000,6
박철수,M,58,1066163907,378400000,2
엄경자,F,46,1024824408,74300000,3
문형세,M,54,1093497149,3000000,9
김규태,M,80,1016726172,255700000,4
이순희,F,70,1071908540,3900000,6
안상훈,M,26,1045927687,6200000,8
최길수,M,53,1072073202,61200000,3
신금계,F,67,1018757751,130100000,3
김순복,F,64,1035184061,59500000,3
백순태,M,42,1030778504,19000000,8
이형배,M,44,1014200487,8000000,6
한영갑,M,26,1011144511,226400000,4
최봉현,M,68,1088938473,70800000,6
신학수,M,43,1078123690,2000000,10
유화덕,F,51,1082593561,10000000,7
김무용,M,34,1083996072,429000000,2
장주식,M,47,1036504458,284100000,3
김영심,F,62,1034758184,15200000,4
한정식,M,51,1034793617,129700000,4
백호현,M,52,1010629627,11100000,5
박영준,M,21,1017247072,92200000,6
이현임,F,36,1029885981,737200000,1
정옥자,F,57,1070158911,11100000,3
정창규,M,62,1041219426,54800000,5
박현숙,F,64,1099824358,162000000,4
조동원,M,56,1084708404,3200000,10
김기창,M,75,1069151485,16200000,7
강명분,F,58,1040858710,16300000,4
명화재,M,48,1063860479,828400000,2
이양정,F,73,1087705029,298600000,2
이명한,M,63,1094375091,11900000,8
김종숙,F,37,1080179451,10800000,8
서만복,M,33,1062012196,149500000,5
이하일,M,67,1082218397,143500000,5
손기애,F,70,1054089712,38300000,3
최태주,M,59,1058192444,2600000,7
조혜인,F,42,1091693953,12600000,4
윤근운,M,46,1079336342,4200000,10
서은철,M,64,1098074845,40200000,6
정현옥,F,62,1028625050,14300000,6
강희철,M,65,1091599988,114000000,6
금동홍,M,63,1066177583,56200000,7
강정옥,F,58,1047909837,327300000,2
심경자,F,29,1062629073,26800000,4
민정식,M,60,1046352067,4400000,8
우상명,M,54,1021369079,52200000,7
김남주,F,50,1066306338,107200000,3
김종인,M,38,1030022301,2300000,10
박종순,F,76,1057186534,2100000,7
김재법,M,35,1079379574,29400000,3
김희선,F,35,1054886217,57000000,3
박송자,F,75,1021770218,56000000,5
김경년,F,50,1099556849,28100000,4
남순애,F,49,1044992264,2100000,7
변춘자,F,47,1084430154,23500000,4
김제영,M,42,1047930928,595500000,3
방흥성,M,48,1054267297,28900000,6
김숙희,F,37,1044791014,265500000,3
박미선,F,46,1021916571,37400000,4
허정화,F,53,1036824719,64900000,3
이근태,M,66,1030416818,1600000,10
유상윤,M,52,1028474407,406200000,3
홍석팔,M,42,1023483968,21200000,8
이근배,M,68,1083192583,9900000,6
오순자,F,44,1016801726,237000000,4
도명란,F,44,1020328810,25900000,8
유정희,F,39,1043249833,25800000,4
신신구,M,41,1067301813,17800000,8
이형효,M,67,1025497062,32400000,6
오숙경,F,73,1063976090,53900000,6
권봉순,F,59,1093088879,87900000,3
조석원,M,63,1017787706,11600000,8
김옥곤,M,65,1085921040,51700000,3
박형임,F,42,1088986206,415600000,2
장기수,M,35,1021266214,34900000,7
서성여,F,44,1024029634,10200000,9
이효열,M,44,1067992405,107600000,6
강인희,M,30,1096270894,9800000,9
양귀남,F,62,1069257265,11800000,4
장옥환,F,59,1024331316,2000000,8
심수연,F,23,1046760676,16500000,4
고희정,F,54,1084266508,444200000,3
김인례,F,35,1016352699,1400000,10
김헌관,M,31,1066958698,157700000,4
심원보,M,51,1041394354,8200000,8
신영미,F,47,1099473496,72300000,3
김옥임,F,57,1038594466,44100000,3
설채자,F,75,1083696477,1700000,7
문정숙,F,57,1073402083,2100000,9
한순자,F,28,1081509977,27600000,4
김경식,M,61,1043908349,14300000,5
여옥순,F,56,1010868186,16300000,6
원종락,M,68,1018100702,609500000,2
이윤태,M,42,1044489543,79500000,4
김광훈,M,40,1099444372,1600000,8
최계신,F,31,1021733186,16200000,4
김기옥,M,41,1021179223,63200000,5
신명기,M,54,1035682718,32600000,3
차두환,M,36,1079060697,9300000,9
홍순능,M,45,1028632204,16600000,6
김영길,M,66,1063437649,16100000,7
천영란,F,82,1047566976,3600000,5
박민증,M,47,1098060366,489600000,2
김현옥,F,82,1014743620,15300000,3
김문갑,M,61,1046085754,60900000,6
김일분,F,52,1011179067,23300000,5
이천훈,M,35,1010006792,23100000,5
