이름,주소,신장,체중,휴대폰번호,학력,직업,월소득
이옥자,경북 김천시 구성면,175,84,1080890132,석사,무직,8033333
권명자,서울 중랑구 면목7동,147,60.5,1060693204,대퇴,무직,10000
서필례,서울 양천구 신정6동,165,80.5,1086028130,기타,주부,25000
송인자,경기 안양시 석수1동,177,81.9,1084432816,학사,회사원,9443251
박성민,경기 고양시 탄현동,161,76.1,1013583362,고졸,강사,7080000
목영복,서울 관악구 신림동,172,81.1,1024319583,중졸,강사,1080000
조복선,경기 안양시 안양8동,169,73.1,1068901745,학사,계열사직원,8062500
박시현,경기 의정부시 호원동,171,72.5,1070157697,학사,기타,5025000
김정옥,경기 김포시 장기동,170,83,1046957513,학사,전문직,8043333
김희원,충남 서산시 읍내동,176,77.1,1052103064,석사,무직,1075833
박도화,경기 수원시 매탄동,182,70.6,1083675150,기타,회사원,82500
김용희,경기 광명시 광명7동,167,84.8,1052945689,학사,무직,4309997
이유빈,인천 서구 원당동,169,67.1,1052531613,전문학사,자영업,1068333
김태기,울산 남구 야음동,170,74.5,1027627839,석사,주부,1009167
이혜정,경기 광명시 광명7동,126,49,1038253955,석사,자영업,8049167
최준동,경기 평택시 소사동,164,78,1023923141,석사,주부,1027500
김형복,경기 고양시 성사동,161,68.6,1038169498,대재,무직,62500
안주효,경기 고양시 일산1동,159,73.3,1031681333,학사,자영업,8840652
고광필,경기 김포시 북변동,177,77,1013964046,기타,주부,3019167
김을순,대구 남구 대명4동,143,56.5,1011253650,대재,주부,45000
신순녀,경기 양주시 광적면,141,45.5,1021118583,대재,강사,37500
공용,경기 안양시 석수1동,145,68.7,1091841933,고졸,자영업,1664132
임영수,대구 북구 동천동,176,64.1,1024495064,대퇴,주부,63333
하숙경,서울 마포구 공덕동,157,73.1,1036119880,학사,자영업,10557088
남유경,경남 진주시 초전동,174,82,1032735197,전문학사,무직,10020611
김경지,제주 제주시 연동,159,72.5,1082019811,고졸,회사원,1029167
이해숙,인천 강화군 강화읍,177,80.5,1019168652,석사,강사,8045833
정도금,경기 파주시 탄현면,168,72.6,1074967161,대재,학생,1054167
최진성,서울 강북구 번3동,174,79.1,1015847551,학사,무직,1078333
나동진,서울 중랑구 신내동,142,56.5,1075744765,대퇴,강사,1022500
강지선,서울 양천구 신월7동,149,69.1,1029143598,학사,강사,1611887
원종숙,제주 북제주군 애월읍,166,90.1,1098674354,학사,자영업,8054167
서정애,서울 서초구 방배2동,148,64.6,1035714195,대퇴,자영업,7076667
조종숙,경기 김포시 장기동,169,88.5,1042936464,기타,학생,8025833
장대진,전북 전주시 삼천동1가,156,69.5,1017997455,고졸,학생,7459740
채현숙,경기 고양시 풍동,165,89,1079209337,학사,강사,8036667
김순례,경기 고양시 덕이동,160,70.6,1013446258,고졸,주부,8058333
배미옥,경기 안양시 석수2동,148,68.6,1080529673,이학박사,학생,8064167
이성업,경기 화성시 태안읍,173,75.1,1093034745,대퇴,강사,1075000
하용분,충남 청양군 대치면,173,88.4,1048536410,고졸,자영업,3388007
강용운,전북 고창군 부안면,165,82.6,1076995653,대재,자영업,54167
민경희,강원 춘천시 온의동,163,81.5,1062086728,대재,자영업,8023333
오금자,경기 구리시 수택2동,152,69,1053667634,대재,강사,8012500
서병기,인천 부평구 산곡1동,171,80.6,1055087156,이학박사,강사,2576483
김복달,경기 고양시 일산2동,178,83.1,1066608086,대재,회사원,65833
배덕례,경기 성남시 정자동,172,92.5,1096543600,고졸,회사원,8010833
송기연,충북 충주시 용산동,142,64,1077422368,석사,자영업,2966092
김석영,대전 서구 가수원동,103,57,1044505441,석사,강사,1022500
정상용,경기 고양시 가좌동,151,77,1036587802,전문학사,자영업,33333
이재목,서울 서초구 양재동,151,62.1,1025179010,고졸,강사,74167
정수자,경기 광주시 탄벌동,164,79.5,1068028059,대재,자영업,8026667
김종희,강원 홍천군 홍천읍,160,75.3,1029741052,기타,자영업,8778839
김춘영,경기 고양시 고양동,158,77.4,1044603017,학사,자영업,10448350
이경미,전남 보성군 겸백면,179,85.5,1080251040,대재,주부,8018333
박명희,서울 서초구 양재동,162,82,1036806180,대재,학생,8032500
이동신,경북 경산시 백천동,150,67,1057368819,중졸,학생,8038333
황성옥,경기 부천시 소사본동,172,83.6,1072941298,대퇴,학생,2060388
신애,서울 서초구 잠원동,161,68,1023431743,대퇴,자영업,10000
권규석,인천 남구 용현5동,147,60.6,1052162837,중졸,자영업,2564287
김태환,서울 금천구 독산1동,179,82.5,1048869232,대재,무직,9539467
서분이,경기 고양시 풍동,141,63,1067988064,석사,자영업,8025833
김옥연,경기 수원시 조원동,136,59.2,1089239814,중졸,주부,9204891
김정태,서울 광진구 광장동,173,73,1031583716,석사,주부,1031667
안오복,전남 고흥군 봉래면,148,64.6,1056857178,전문학사,회사원,8050000
김진영,경기 고양시 일산2동,174,85,1010604319,학사,무직,48333
이동욱,경기 파주시 교하읍,182,91,1049782790,학사,자영업,3034167
민경남,부산 사하구 신평1동,164,68.5,1052793456,대재,회사원,1015833
조옥선,충남 천안시 봉명동,163,77.8,1085930431,석사,자영업,4782278
김병엽,서울 구로구 신도림동,118,45,1061253442,대재,회사원,14167
박은숙,경기 고양시 대화동,135,77.5,1016102023,초졸,회사원,8033333
강돈식,인천 부평구 부개3동,164,80.9,1072246276,대재,주부,900303
윤미섭,서울 서초구 양재2동,166,83.8,1029898677,석사,학생,9808351
박연순,경기 고양시 마두동,145,74.5,1062014514,고졸,자영업,4038641
심재순,서울 은평구 수색동,156,75.1,1052555959,대재,학생,8077500
양영희,경기 파주시 금촌2동,175,73.1,1081893336,학사,주부,78333
이은종,경기 고양시 탄현동,144,68.9,1080400879,대퇴,학생,1878688
김병열,경기 성남시 태평1동,139,53.5,1036551549,중졸,자영업,3011667
백연옥,경기 고양시 화정동,173,75.1,1020023305,석사,자영업,68333
박문조,서울 성북구 장위1동,165,69.5,1024431748,석사,강사,26667
김종환,경기 성남시 성남동,151,69.6,1043342885,학사,학생,1633588
최성권,대구 달서구 도원동,139,60.1,1050211049,석사,무직,77500
김정호,서울 서대문구 북가좌1동,170,80.9,1097360440,이학박사,주부,1882753
차이단,경기 시흥시 신천동,177,73.6,1093784998,전문학사,회사원,1055833
박후식,서울 금천구 시흥5동,108,44.6,1024789784,대퇴,강사,65833
장재순,인천 연수구 청학동,169,72.5,1010150045,기타,무직,37500
김미녀,경기 군포시 당동,160,85.6,1036823515,학사,자영업,8050000
정우민,경기 성남시 중동,118,54,1061235732,학사,주부,1014167
박재명,경기 고양시 일산4동,153,83.4,1076288094,석사,강사,9360738
백애선,서울 서초구 방배동,170,80.5,1040872905,고졸,주부,49167
강순자,경남 밀양시 삼랑진읍,173,72.6,1014450783,대재,무직,1062500
이태용,경기 고양시 마두동,174,81,1012104662,대퇴,자영업,1019167
이해순,서울 강남구 압구정동,156,76,1089065636,석사,무직,5002714
문순임,경기 김포시 장기동,151,79.9,1093612544,대퇴,무직,8913334
유준열,서울 도봉구 창2동,174,69.5,1067816840,기타,주부,3010833
김영혜,서울 관악구 봉천10동,161,73.5,1025981900,석사,학생,8024167
강득형,경기 수원시 영통동,136,48.6,1070191660,대재,자영업,59167
서윤경,경기 고양시 일산3동,144,75.1,1099476159,학사,주부,8065000
조광자,인천 부평구 산곡3동,158,72.6,1090338952,대재,주부,2082920
신호균,서울 서대문구 홍은3동,163,69.1,1015054998,고졸,회사원,1588387
조월심,충남 논산시 강경읍,171,77.8,1035181895,해외유학,주부,10326960
권혁구,경기 연천군 미산면,164,79.5,1096151957,대재,학생,1027500
김이숙,전북 임실군 오수면,141,56,1097080176,대퇴,회사원,39167
우상명,인천 남구 학익2동,161,79.9,1021369079,기타,무직,1436599
이명석,전남 순천시 연향동,153,62,1061912617,석사,회사원,1045833
함순옥,경기 남양주시 와부읍,161,68.4,1016408128,학사,회사원,9406613
박명규,서울 영등포구 문래동,161,69.1,1086889623,대퇴,무직,73333
조경순,대구 북구 동변동,146,70.1,1093928321,이학박사,계열사직원,9632311
노복래,서울 서초구 서초4동,161,80.6,1038726424,석사,회사원,10605996
김재덕,경기 구리시 교문동,158,72.1,1036008242,초졸,학생,8076667
이미영,서울 강동구 둔촌동,167,88,1059198077,학사,회사원,8033333
박종태,대전 유성구 장대동,180,84,1089977536,학사,주부,1024167
이일규,충남 서천군 종천면,153,74.1,1069771443,석사,회사원,1076667
이정숙,서울 강서구 방화3동,145,78.1,1094534043,기타,무직,8079167
이차숙,서울 강서구 내발산동,156,78.2,1033011019,고졸,주부,3176121
이동준,경기 김포시 풍무동,156,68.6,1067147027,석사,자영업,1070833
오원석,서울 양천구 목3동,146,76.1,1020368764,석사,자영업,5068333
박수남,경기 고양시 일산3동,175,95.1,1010568711,전문학사,무직,8067500
이형태,경남 진주시 평거동,181,70,1019299013,기타,학생,22500
우태하,경기 의정부시 의정부3동,163,71.3,1030133423,이학박사,전문직,2346581
박금례,경기 시흥시 대야동,167,78.6,1010854606,석사,회사원,8082500
강완식,서울 노원구 공릉2동,140,60,1053566663,학사,학생,36667
송정숙,경기 안산시 고잔2동,153,58.1,1075669177,대재,강사,1069167
성기봉,서울 양천구 목1동,177,74.1,1041276946,석사,주부,3077500
이경찬,전남 곡성군 고달면,153,77,1055808516,학사,자영업,1022500
엄복자,경기 안양시 평촌동,135,63.1,1082137993,기타,전문직,8070000
유금례,경기 고양시 탄현동,171,81.5,1017535566,이학박사,자영업,1040000
임동선,경기 김포시 고촌면,178,87.5,1039896580,학사,무직,1045833
문장순,경기 김포시 장기동,170,82.3,1074028009,고졸,주부,2759507
김정호,경기 파주시 교하읍,146,71.6,1024481643,대퇴,무직,1075000
유창근,경기 파주시 교하읍,170,74.6,1080295346,학사,자영업,54167
백명선,서울 영등포구 신길1동,160,87.1,1098789996,석사,전문직,8076667
장명자,경남 창원시 도계동,151,73,1015405738,대퇴,자영업,8040000
정행분,경북 영덕군 지품면,142,78.3,1057655680,석사,자영업,9775378
김응보,인천 부평구 삼산동,146,60,1066681952,공학박사,강사,34167
조선주,서울 송파구 마천동,141,66.1,1023999467,이학박사,자영업,70000
정상열,경기 파주시 교하읍,141,57.2,1064186564,고졸,자영업,3176623
손승녀,경기 고양시 성사1동,156,63.1,1058194470,기타,회사원,80000
홍병천,서울 구로구 구로2동,125,62.5,1017078692,대재,강사,3045000
박영길,충남 논산시 연무읍,156,68.1,1093843285,대퇴,강사,79167
임미숙,경기 고양시 백석동,105,45.5,1063941245,기타,강사,8049167
김윤식,인천 서구 불로동,169,68.1,1083281677,대퇴,회사원,60000
박난영,경기 고양시 마두1동,168,77,1010407910,고졸,무직,8022500
임경태,서울 노원구 공릉동,110,52,1020419106,학사,강사,1014167
김두례,경기 안양시 갈산동,174,82.6,1073816312,고졸,무직,8067500
김동숙,서울 마포구 중동,168,80.5,1022372649,기타,자영업,8024167
김복정,서울 강서구 염창동,157,69.1,1017149859,초졸,무직,8071667
최현숙,경기 고양시 일산4동,168,78.6,1078929925,석사,무직,1060000
고창임,서울 도봉구 쌍문동,137,68,1099714470,대재,무직,8032500
민혜식,경기 부천시 범박동,165,69,1093080274,고졸,무직,5486888
변경숙,서울 양천구 목3동,140,62.5,1091447771,고졸,회사원,18333
장옥매,경남 양산시 물금읍,175,94.8,1093890628,고졸,주부,10817241
박희옥,경기 고양시 탄현동,158,76.9,1074386570,고졸,자영업,10409984
강길자,경기 군포시 산본1동,160,79.6,1044697016,이학박사,무직,1059167
황무익,경기 군포시 산본1동,177,72,1047760990,고졸,회사원,1045000
구동서,전남 여수시 안산동,131,64.1,1046910114,전문학사,자영업,64167
최영자,경기 남양주시 진건읍,139,72,1043820253,학사,자영업,8034167
홍순정,대구 수성구 수성동1가,160,84.5,1020297514,대재,회사원,8040833
김신혜,경기 성남시 태평1동,174,88.9,1084572816,대퇴,무직,10438717
이정훈,경기 고양시 성사1동,168,73,1095271569,석사,주부,40000
김규자,경기 고양시 화정동,164,80,1062682410,고졸,학생,2463691
송수웅,충북 충주시 앙성면,167,70.6,1083769196,대퇴,무직,1068333
김백기,경기 고양시 장항2동,141,68.6,1049550306,중졸,기타,60833
김은숙,경기 고양시 중산동,171,84.6,1083554618,대퇴,자영업,8066667
정선금,대전 유성구 관평동,142,58,1059504695,고졸,주부,8013333
송봉수,인천 부평구 부평5동,154,69.6,1012537390,대퇴,기타,59167
윤동순,경기 고양시 마두1동,134,71.6,1014080536,학사,무직,11105627
오호남,서울 송파구 방이2동,160,73.7,1087825736,석사,자영업,2210354
전덕아,서울 강서구 화곡8동,141,50.6,1041731250,석사,학생,58333
박택규,경기 고양시 풍동,177,82.5,1012778982,전문학사,자영업,36667
박용철,서울 양천구 목동,161,86,1075409968,대재,자영업,3487805
장옥순,서울 양천구 신월7동,165,77.1,1055147352,고졸,무직,8062500
박병주,충남 천안시 성환읍,174,65.6,1039744149,고졸,회사원,2128081
김명현,서울 양천구 목3동,142,81,1093447284,기타,무직,8010833
최섭희,서울 양천구 목2동,143,55.5,1047920589,학사,무직,1026667
이홍로,경기 김포시 장기동,147,54.2,1025134880,대재,무직,2679443
김택용,경남 양산시 물금읍,137,57.5,1089305649,학사,무직,3022500
윤옥진,서울 서초구 서초동,170,79.1,1069245003,기타,주부,7076667
한해숙,서울 강서구 화곡2동,165,83.5,1075592052,고졸,무직,1045833
이순옥,대구 수성구 범어1동,142,64,1026994328,기타,강사,3956289
신관옥,경기 고양시 일산2동,124,61,1091960495,중졸,주부,15833
장영례,경기 고양시 가좌동,158,84,1035513418,석사,학생,8025000
이상혁,경기 고양시 백석동,161,68.1,1039774808,석사,강사,78333
김문희,서울 동대문구 장안2동,156,74.1,1056185904,고졸,회사원,8058333
윤창수,서울 마포구 도화2동,161,65,1062718775,대재,자영업,1044167
편순생,경기 안산시 사2동,157,71.5,1094672555,학사,주부,8027500
이희배,서울 강서구 방화3동,149,67,1025886233,전문학사,주부,33333
김은숙,서울 은평구 녹번동,152,64,1081880277,기타,주부,39167
박연옥,경기 파주시 금촌2동,144,71.3,1097217363,대퇴,자영업,9328355
김기순,서울 중랑구 묵2동,140,57,1053954203,대재,학생,30833
김영목,경기 남양주시 별내면,142,60.1,1078901384,기타,무직,82500
안성윤,경기 파주시 월롱면,159,77.5,1048368743,대재,자영업,1035000
주영복,경기 의왕시 내손2동,141,65.1,1053212081,대재,학생,1069167
정정식,서울 마포구 아현동,150,50,1096001677,석사,자영업,8333
황운상,서울 서대문구 연희2동,144,60.7,1079811955,석사,학생,2737150
백만순,인천 부평구 청천동,163,76.1,1095097047,대재,무직,1068333
송종국,경기 화성시 봉담읍,165,64.4,1063630654,고졸,자영업,4384698
이인옥,충남 아산시 용화동,159,60.6,1075027665,이학박사,자영업,55000
신기복,서울 강서구 방화동,165,68.1,1037788857,석사,강사,8080000
최윤열,경기 고양시 백석동,162,70.1,1088921509,대재,자영업,1074167
설원선,광주 북구 양산동,159,66.5,1096734318,전문학사,강사,1025833
박인규,경기 화성시 봉담읍,163,84,1099171981,대재,학생,1045000
유경희,경기 고양시 백석동 ,173,76,1045030867,고졸,자영업,8035833
박은분,서울 양천구 목5동,143,53.5,1092459741,학사,무직,2525250
이덕수,경기 고양시 화정동,144,60.6,1092618099,대퇴,학생,73333
김재희,인천 부평구 부평동,171,69.5,1055448711,대퇴,회사원,3025833
고성호,인천 남동구 간석2동,173,83,1077803631,대퇴,자영업,27500
조희자,부산 동래구 온천3동,178,89,1044385190,학사,강사,1039167
서유출,경기 성남시 수진1동,134,59,1036393564,석사,자영업,15833
김현호,서울 강서구 외발산동,172,79.8,1027388060,대재,회사원,7301073
조곤도,서울 은평구 수색동,172,74.6,1045560952,고졸,계열사직원,69167
이상만,서울 강서구 등촌2동,152,63.1,1019636987,대재,학생,7069167
차원철,경기 고양시 풍동,164,80.5,1067518769,기타,무직,1038333
장문식,강원 철원군 철원읍,170,74.1,1012028340,고졸,회사원,63333
전상우,대구 수성구 파동,157,80.5,1015143067,학사,학생,3046667
오재삼,서울 양천구 신정2동,145,65.7,1035374182,대재,회사원,2669408
황문웅,전북 군산시 월명동,160,73,1025786978,기타,주부,38333
조성훈,울산 북구 신천동,150,64.6,1096557407,대재,주부,3071074
이정숙,인천 부평구 청천동,157,70.4,1069068907,대재,자영업,8874126
이인식,경기 의왕시 청계동,174,82,1025660967,석사,자영업,3045000
김명숙,서울 마포구 공덕동,171,70,1096103797,고졸,무직,1025000
이순실,경기 고양시 일산2동,160,80.6,1022167045,석사,주부,8060000
김경숙,경기 성남시 서현동,150,72,1083740405,석사,주부,8008333
김용준,서울 용산구 이촌1동,171,88.1,1082398222,고졸,주부,2568477
이진숙,경기 고양시 행신3동,147,62.4,1097209264,대재,강사,2947265
이경숙,경기 남양주시 진접읍,148,69,1077578132,해외유학,회사원,8045833
홍정락,경기 고양시 백석동,179,78.9,1024864002,고졸,무직,2877148
박순이,경기 고양시 덕이동,149,76.6,1010900333,이학박사,학생,8071667
김용팔,경남 거창군 거창읍,150,76.1,1031636354,해외유학,회사원,1071667
김용중,경기 남양주시 진건읍,163,79.5,1053526007,석사,주부,28333
김석,인천 연수구 청학동,171,72.4,1042345705,기타,회사원,2864072
조재희,서울 송파구 거여동,155,71.9,1078983253,대재,주부,1871940
박종화,경기 고양시 탄현동,150,64.6,1099566892,이학박사,회사원,54167
김미경,전북 익산시 동산동,153,80.8,1078575717,대재,주부,10820930
양해영,경남 거제시 옥포1동,138,67,1031408436,석사,주부,16667
김방길,경기 군포시 산본2동,142,50.6,1065366861,전문학사,강사,62500
조대형,경기 파주시 교하읍,170,66.2,1069006411,고졸,회사원,1661005
강석연,전남 목포시 석현동,156,67.1,1013284354,학사,회사원,10053788
하윤양,경기 고양시 풍동 ,176,85.1,1073844663,학사,학생,1064167
성판규,서울 은평구 불광3동,149,73.1,1078294060,기타,학생,2101756
박복엽,경기 고양시 일산3동,164,76.5,1043249541,학사,회사원,9951703
변귀정,경기 파주시 교하읍,158,63.5,1083132294,공학박사,주부,4004255
이춘범,경기 고양시 일산3동,176,84.5,1067700056,학사,주부,1042500
김보민,경기 화성시 태안읍,172,76,1093712782,고졸,주부,1047500
강세주,경기 김포시 고촌면,162,82.6,1057878499,대재,무직,5059167
임순임,경기 고양시 일산2동,178,82.1,1023742659,학사,무직,1059167
김경위,경남 진해시 이동,144,58.5,1095761875,대재,강사,1008333
박창진,경기 양주시 산북동,150,59.5,1043818780,석사,강사,31667
조한오,경기 고양시 풍동,167,75,1046377006,대퇴,회사원,3048333
한성우,경기 김포시 풍무동,169,92.3,1039871079,초졸,전문직,7322994
김건수,울산 남구 무거2동,137,64.8,1071554011,석사,자영업,1279227
정용시,전북 진안군 진안읍,142,59.5,1040926202,학사,주부,1035833
유정민,서울 성북구 성북동,177,71.6,1020824452,학사,주부,7082500
김성섭,경북 안동시 길안면,176,78,1082159941,전문학사,주부,1494217
이재도,경기 동두천시 송내동,169,78,1082696506,학사,회사원,3045000
윤효진,전남 목포시 창평동,164,85.5,1030883622,석사,무직,7023333
방순옥,서울 영등포구 영등포동3가,174,73.6,1051149136,석사,주부,56667
황운용,서울 성동구 상왕십리동,168,88.3,1028902833,학사,학생,6252295
엄영태,서울 동작구 상도동,176,77,1095853126,석사,강사,22500
김영자,경기 동두천시 생연동,173,72.6,1040904740,전문학사,자영업,8081667
박종완,경기 고양시 일산1동,162,65,1099213176,공학박사,자영업,1049167
정상순,경기 과천시 과천동,127,48.1,1078389461,대재,자영업,1071667
임향미,울산 중구 성안동,166,88.6,1015456471,학사,전문직,3064167
안복녀,경기 고양시 일산1동,150,57.1,1085421666,학사,자영업,60833
고영분,서울 동작구 상도1동,178,79.1,1096700230,이학박사,자영업,82500
이윤태,경기 용인시 성복동,138,62,1044489543,학사,강사,1011667
김송금,인천 남동구 만수3동,181,87.1,1069876941,석사,주부,2122373
김영순,경기 고양시 탄현동,179,77.6,1086377391,대퇴,강사,8072500
최호영,경기 시흥시 하상동,163,79.5,1043357764,학사,학생,1022500
조범행,경기 수원시 조원동,178,72.5,1094556120,이학박사,주부,1029167
허미회,경기 고양시 마두2동,176,95,1048325243,대재,강사,8034167
방옥화,경기 파주시 교하읍,169,80.1,1064179639,고졸,전문직,1065000
정규철,서울 송파구 가락동,163,67,1070344679,대재,전문직,41667
노장수,경기 안양시 안양2동,147,62.6,1065611601,기타,무직,1050000
최종현,부산 사하구 괴정3동,152,69.6,1061710765,중졸,자영업,1054167
백금현,경기 고양시 탄현동,143,63.5,1067619315,전문학사,강사,3026667
박정길,전남 여수시 고소동,148,73,1027983597,고졸,회사원,10000
임경남,전북 무주군 안성면,182,83.1,1089237845,대재,자영업,50000
최원정,서울 구로구 구로5동,164,75,1099011810,학사,회사원,1016667
김희탁,경북 포항시 환호동,165,72.5,1025079763,고졸,무직,22500
홍우일,경기 파주시 금촌2동,177,84,1028025086,기타,자영업,1026667
이영걸,경기 고양시 풍동,162,68,1067243499,대퇴,주부,1047500
최철화,경기 고양시 중산동,159,80,1031076054,고졸,무직,1015833
배선자,전북 남원시 금동,171,79.5,1060553874,학사,자영업,8030833
이상천,부산 동래구 온천3동,166,78.8,1098137257,대재,강사,4840439
이옥희,인천 부평구 청천1동,124,55.1,1095657192,석사,학생,1050000
고용국,서울 양천구 신정6동,157,63.1,1080092639,고졸,강사,68333
김순환,서울 도봉구 도봉2동,186,80.1,1049514493,고졸,주부,57500
여말애,경기 고양시 성석동,141,70.6,1014627239,대재,자영업,3080833
김동안,경기 고양시 가좌동,170,77.6,1025909702,석사,회사원,1070000
성필선,전남 나주시 공산면,167,74.6,1037954635,학사,주부,82500
양복순,서울 금천구 시흥2동,150,61,1095812394,고졸,전문직,3958772
김두환,서울 마포구 망원2동,121,50.1,1037029961,석사,주부,1077500
김정희,경기 용인시 동백동,153,59.5,1043863920,대재,무직,49167
김홍경,경기 김포시 고촌면,158,67.5,1082157160,해외유학,강사,7502259
정경희,서울 구로구 신도림동,140,51.1,1050709526,학사,군인,1074167
노태분,경기 안양시 안양3동,177,97.9,1025477941,학사,주부,9410975
박재홍,서울 광진구 광장동,164,70,1048969922,기타,회사원,8333
임승모,경기 파주시 교하읍,151,72.6,1078114832,학사,학생,1613091
박억성,경기 김포시 북변동,172,85.5,1029977601,대재,학생,1048333
정복기,경기 안산시 본오동,170,84.5,1089616288,대재,주부,4042316
이영애,경기 의왕시 오전동,180,88.4,1079032695,석사,자영업,9376024
부순옥,서울 구로구 신도림동,151,68.2,1067997713,학사,자영업,12195028
박경선,광주 광산구 신가동,157,75.5,1073383593,고졸,자영업,8044167
노순예,경기 고양시 백석동,150,70.5,1039331346,학사,무직,8008333
임찬부,경기 고양시 화정동,132,61.1,1089755822,학사,주부,1050000
신두원,경기 파주시 교하읍,167,57.6,1031085236,고졸,회사원,1070833
정종연,경기 파주시 교하읍,165,75,1010213445,고졸,무직,30000
최연규,제주 제주시 오등동,147,67.6,1077150598,대재,자영업,3070000
이우현,서울 송파구 잠실3동,157,68,1035036552,학사,주부,29167
김진옥,강원 속초시 교동,154,73.1,1077477798,학사,회사원,55833
문계순,서울 서대문구 홍제4동,161,81.1,1043154403,석사,무직,1079167
박종권,전북 전주시 효자동1가,134,56,1071765467,해외유학,자영업,1539469
이철남,경기 군포시 오금동,144,58.5,1079947924,고졸,무직,1025000
남평우,충남 예산군 예산읍,165,83,1068020629,석사,회사원,1042500
노미옥,서울 강서구 등촌2동,175,85.6,1035265507,대재,자영업,8053333
박의효,서울 구로구 고척2동,155,58.5,1024558448,학사,회사원,15833
송현길,경기 고양시 주엽2동,164,75.6,1014962909,전문학사,자영업,1070000
이옥수,경기 광주시 태전동,177,71.5,1029137030,학사,주부,10833
오명근,광주 동구 산수2동,168,95.3,1015636536,대재,학생,11330508
장무임,경기 안양시 석수2동,175,89.1,1032089256,석사,강사,9567951
심혜섭,경기 부천시 작동,166,73.8,1011948190,학사,학생,1274435
이종대,경기 파주시 교하읍,157,68.6,1060793401,석사,무직,65833
김향심,경기 고양시 사리현동,145,61.6,1073112701,대재,강사,8066667
배길웅,부산 금정구 장전1동,165,78.6,1068956001,석사,주부,76667
전성하,경기 고양시 마두1동,136,65.5,1082122035,기타,자영업,1046667
하은주,경기 시흥시 은행동,176,74.6,1087223044,학사,자영업,3053333
방용향,충남 천안시 사직동,181,81.6,1029988194,학사,회사원,8068333
박영천,서울 마포구 서교동,172,67,1088695935,전문학사,주부,1964456
김금희,부산 동래구 온천1동,147,75.1,1073222315,학사,자영업,55833
최병혁,경기 안양시 박달2동,180,89.6,1053342714,학사,자영업,1078333
황동식,서울 도봉구 도봉2동,153,76.6,1081543902,석사,자영업,1641204
고점순,경기 용인시 풍덕천2동,158,65.5,1096858547,기타,학생,8034167
황충남,서울 관악구 신림본동,170,80.9,1051855810,전문학사,학생,3398135
정태천,울산 울주군 온양읍,159,74.9,1094573841,석사,자영업,2885918
이윤숙,경기 수원시 율전동,168,80.6,1059817011,석사,자영업,8078333
류방렬,전북 전주시 우아동1가,145,62,1040951081,학사,주부,35000
문현자,대전 대덕구 덕암동,136,53.1,1075923692,고졸,회사원,1059167
양오복,경기 구리시 인창동,119,62,1021522681,기타,무직,8032500
유정희,강원 춘천시 서면,138,66.1,1018176899,대재,주부,8065000
박순분,서울 광진구 구의동,128,55.6,1049239255,초졸,주부,8069167
안진숙,서울 양천구 신월4동,169,71.6,1016624593,전문학사,강사,8059167
전미연,서울 관악구 봉천10동,162,80,1048463202,학사,자영업,40000
이규철,경기 고양시 가좌동,172,60.8,1083924437,학사,자영업,1282155
김기순,서울 강북구 수유4동,151,53.5,1043633016,대재,자영업,14167
김태자,경기 용인시 성복동,164,82.5,1015288746,석사,자영업,8034167
김세태,전북 익산시 영등동,156,81,1013389024,초졸,무직,6980138
변옥연,경기 안산시 사동,166,92.8,1069050619,학사,강사,15271554
이영구,서울 중구 중림동,155,63.6,1071377711,석사,자영업,1075000
박갑석,대전 유성구 어은동,139,53.6,1018223512,이학박사,강사,81667
강건욱,경기 파주시 법원읍,164,71.5,1051314924,중졸,주부,22500
박수정,경남 합천군 초계면,176,85.5,1057384119,중졸,학생,3032500
송숙자,경기 화성시 태안읍,177,81.1,1094626523,대재,회사원,8071667
김응선,충북 괴산군 증평읍 ,167,81,1050787788,석사,무직,1033333
이양학,경북 칠곡군 석적면,129,38.6,1099256684,중졸,학생,1068333
김외자,경북 울진군 죽변면,132,58.6,1042468328,석사,자영업,8066667
장영순,전남 여수시 미평동,170,89,1065345983,고졸,주부,8028333
지영선,서울 강서구 화곡7동,168,75.6,1053431192,석사,주부,3064167
강금남,경기 고양시 장항동,176,75.6,1092801114,기타,무직,80833
정연명,서울 도봉구 방학2동,172,70,1094888404,석사,계열사직원,1047500
송병숙,경북 포항시 용흥동,179,85,1090672824,석사,주부,8010000
서현선,강원 평창군 진부면,148,71.5,1045656548,기타,주부,5017500
이윤희,충남 아산시 송악면,155,72.1,1034969266,고졸,무직,55833
김추월,서울 서대문구 연희동,167,67,1048928391,대퇴,자영업,30000
김영준,서울 강남구 삼성동,151,77.5,1083567414,대재,주부,8015833
김국경,인천 부평구 부평동,143,66.1,1046793939,기타,자영업,3075833
강행원,경기 화성시 동탄면,165,73.5,1038673451,학사,자영업,1013333
김도일,서울 양천구 목2동,157,70.8,1081455370,석사,자영업,1338888
이춘자,울산 남구 야음동,136,58.9,1092983496,대재,무직,10395123
김진철,광주 동구 지산2동,160,79.5,1054944527,대재,무직,1038333
김조원,경기 김포시 고촌면,175,74.1,1067484614,고졸,자영업,1075833
한은정,경기 김포시 감정동,125,54,1060655096,석사,무직,8035833
성순덕,충남 서산시 음암면,178,66.6,1054866199,석사,주부,81667
김영자,강원 강릉시 포남1동,162,57.5,1045290520,기타,자영업,30000
권영주,경기 광주시 오포읍,164,70.1,1026643071,대퇴,자영업,64167
